Glass,Oxide,Mol% calculated,Mol% analyzed
P0,Na2O,21.41,-
P0,CaO,4.1,-
P0,ZrO2,0,-
P0,SiO2,74.49,-
,,,
P1,Na2O,20.34,18.48
P1,CaO,3.9,3.88
P1,ZrO2,5,4.59
P1,SiO2,70.77,73.05
,,,
P2,Na2O,19.8,19.13
P2,CaO,3.79,3.69
P2,ZrO2,7.5,6.28
P2,SiO2,68.9,70.90
,,,
P3,Na2O,19.27,15.32
P3,CaO,3.69,3.17
P3,ZrO2,10,7.72
P3,SiO2,67.04,73.78
,,,
P4,Na2O,18.73,17.63
P4,CaO,3.59,3.68
P4,ZrO2,12.5,11.09
P4,SiO2,65.18,67.60
,,,
P5,Na2O,18.2,17.32
P5,CaO,3.49,3.39
P5,ZrO2,15,12.28
P5,SiO2,63.32,67.00
,,,
P6,Na2O,17.66,17.40
P6,CaO,3.38,3.32
P6,ZrO2,17.5,14.72
P6,SiO2,61.45,64.55
,,,
P7,Na2O,17.13,17.49
P7,CaO,3.28,3.53
P7,ZrO2,20,15.25
P7,SiO2,59.59,63.73
