,Cation (e/o),Cation (e/o),Cation (e/o),Anion (e/o),Anion (e/o),Cation (at%),Cation (at%),Cation (at%),Anion (at%),Anion (at%)
,Y,Si,Al,O,N,Y,Si,Al,O,N
YSi17G16,28,56,16,83,17,12.3,18.5,7.0,54.7,7.5
Y-B phase,35,45,20,83,17,15.1,14.7,8.7,54.7,7.4
Y-Q phase,18,47,35,80,20,7.9,15.4,15.3,52.6,8.8
,La,,,,,La,,,,
La-W phase,21.4,57.2,21.4,87,13,9.35,18.7,9.35,57.0,5.6
,Er,,,,,Er,,,,
Er-B phase,35,45,20,83,17,15.1,14.7,8.7,54.7,7.4
,Eu,,,,,Eu,,,,
Eu3Si6Al6O21N2,12.5,50,37.5,87.5,12.5,7.9,15.8,15.8,55.3,5.2
