,2th (obs.) (deg),d (obs.) (A),d (calc.) (A),Rel. intensity,h,k,l
1,10.60,8.3365,8.3234,38,3,0,0
2,17.10,5.1816,5.1741,90,3,1,0
3,17.48,5.0677,5.0776,16,3,0,1
4,19.03,4.6601,4.6670,41,0,1,1
5,20.09,4.4171,4.4099,42,-2,1,1
6,25.72,3.4609,3.4617,79,6,0,1
7,26.99,3.3011,3.3027,56,0,2,0
8,27.11,3.2861,3.2850,100,-1,0,2
9,28.44,3.1356,3.1374,48,7,1,0
10,31.71,2.8194,2.8208,32,8,1,0
11,31.83,2.8092,2.8104,84,-3,1,2
12,31.94,2.7992,2.7987,94,7,1,1
13,32.16,2.7808,2.7810,26,8,0,1
14,32.28,2.7706,2.7686,29,3,2,1
15,33.16,2.6994,2.7020,22,-4,1,2
16,34.10,2.6271,2.6251,90,-8,1,1
17,34.66,2.5858,2.5870,53,6,2,0
18,47.32,1.9196,1.9196,32,13,0,0
