Glasses,O2  (x10-20 cm2),O4  (x10-20 cm2),O6  (x10-20 cm2),Ol  (x10-20 cm2)
PB8,8.65+-0.81,1.88+-0.02,1.15+-0.07,11.67
PB7,7.95+-0.65,0.68+-0.21,1.31+-0.12,9.93
PB5,7.44+-0.38,0.98+-0.56,0.72+-0.06,9.13
PB14,12.10+-1.1,1.83+-0.09,1.50+-0.23,15.43
PB15,9.41+-0.39,2.47+-0.23,0.93+-0.05,12.81
PB19,11.22+-0.87,0.94+-0.09,1.26+-0.10,13.44
PB16,10.46+-0.56,0.82+-0.17,0.97+-0.02,12.24
PB18,10.44+-0.30,1.73+-0.33,0.52+-0.10,12.68
,,,,
Fluoride [3],2.51,1.39,0.96,4.86
Oxyfluoride [8],3.22,1.34,0.61,5.16
Halotellurite [2],3.13,1.25,0.73,5.11
Silica [3],3.80,0.60,0.30,4.70
Tellurite [3],4.00,1.20,0.80,6.00
PbO-Bi2O3-Ga2O3 [9],4.73,1.31,0.94,6.98
Phosphate [8],6.19,3.70,0.91,10.81
