Components,SLS,SLS,K03,K03,K06,K06,K09,K09,K22,K22
Components,wt%,mol%,wt%,mol%,wt%,mol%,wt%,mol%,wt%,mol%
SiO2,71.0,71.4,74,75.0,72,73.7,71,73.3,67.2,72.4
Na2O,14.7,14.3,11.9,11.7,9.90,9.80,7.73,7.72,<0.05,0
CaO,11.8,12.7,9.53,10.4,10.5,11.5,11.1,12.3,10.3,11.9
Al2O3,1.65,0.98,1.69,1.01,1.65,0.99,1.71,1.04,0.19,0.12
Sr x O y,0.27,0.16,-,-,-,-,-,-,<0.02,0
BaO,0.23,0.09,-,-,-,-,-,-,<0.02,0
MgO,0.07,0.11,0.07,0.11,0.08,0.12,0.08,0.12,0.06,0.10
K2O,0.01,<0.01,2.92,1.89,5.94,3.88,8.47,5.58,22.5,15.5
Na2O+K2O,,14.3,,13.6,,13.7,,13.3,,15.5
Others,0.27,0.25,-,-,-,-,-,-,-,-
