ID,Mol%,Mol%,Mol%,Mol%,NC,NC'
ID,SiO2,Na2O,CaO,P2O5,NC,NC'
Series I,Series I,Series I,Series I,Series I,Series I,Series I
ICIE1,49.46,26.38,23.08,1.07,2.04,2.13
ICSW2,47.84,26.67,23.33,2.16,2.00,2.18
ICSW3,44.47,27.26,23.85,4.42,1.92,2.30
ICSW5,40.96,27.87,24.39,6.78,1.83,2.44
ICSW4,37.28,28.52,24.95,9.25,1.75,2.62
,,,,,,
Series II,Series II,Series II,Series II,Series II,Series II,Series II
ICSW1,51.06,26.10,22.84,0.00,2.08,2.08
ICSW6,48.98,26.67,23.33,1.02,2.00,2.08
ICSW7,47.07,27.19,23.78,1.95,1.92,2.08
ICSW8,43.66,28.12,24.60,3.62,1.79,2.08
ICSW10,40.71,28.91,25.31,5.07,1.67,2.08
ICSW9,38.14,29.62,25.91,6.33,1.56,2.08
