Heat treatment,Diameterxthickness (mm),Volume fraction,Number density (/mm2),
Glass A,Glass A,Glass A,Glass A,
925 degC/30 min,0.5+-0.2x0.1+-0.0,51+-1,9.35+-0.60,
925 degC/60 min,0.9+-0.5x0.1+-0.1,43+-1,3.64+-0.18,
950 degC/30 min,0.8+-0.4x0.2+-0.0,48+-2,3.40+-0.24,
950 degC/60 min,1.3+-0.4x0.2+-0.0,49+-1,2.99+-0.23,
975 degC/30 min,1.1+-0.4x0.2+-0.0,43+-2,2.86+-0.28,
975 degC/60 min,2.2+-0.6x0.3+-0.1,50+-1,1.57+-0.03,
1000 degC/30 min,2.1+-0.6x0.2+-0.1,39+-2,1.39+-0.12,
1000 degC/60 min,2.7+-1.0x0.3+-0.1,41+-1,1.06+-0.01,
1025 degC/30 min,2.9+-1.0x0.2+-0.1,45+-1,0.97+-0.37,
1025 degC/60 min,3.3+-1.1x0.3+-0.1,40+-1,0.51+-0.01,
1050 degC/30 min,2.9+-0.9x0.3+-0.1,41+-1,0.49+-0.11,
1050 degC/60 min,3.6+-1.5x0.5+-0.1,36+-1,0.48+-0.03,
,,,,
Glass B,Glass B,Glass B,Glass B,
925 degC/30 min,0.9+-0.4x0.3+-0.1,54+-1,3.97+-0.39,
925 degC/60 min,1.0+-0.4x0.2+-0.1,53+-2,3.90+-0.04,
950 degC/30 min,1.1+-0.5x0.2+-0.1,47+-6,2.72+-0.22,
950 degC/60 min,1.8+-0.5x0.3+-0.1,51+-4,2.01+-0.09,
975 degC/30 min,1.7+-0.6x0.3+-0.1,45+-1,1.30+-0.23,
975 degC/60 min,2.0+-0.6x0.3+-0.1,51+-2,1.24+-0.07,
1000 degC/30 min,1.8+-0.8x0.2+-0.1,41+-2,1.13+-0.01,
1000 degC/60 min,3.3+-1.1x0.3+-0.1,47+-4,0.92+-0.04,
1025 degC/30 min,2.4+-0.8x0.2+-0.1,39+-4,0.84+-0.01,
1025 degC/60 min,3.4+-1.3x0.3+-0.2,39+-1,0.61+-0.01,
1050 degC/30 min,3.1+-1.1x0.2+-0.1,37+-3,0.77+-0.04,
1050 degC/60 min,3.5+-1.7x0.2+-0.0,46+-3,0.57+-0.04,
