mol% ZnO,mol% ZnO,mol% P2O5,Density,Fraction,Fraction,Fraction
synthesis,analysis,analysis,(g/cm3),Q2 (exp.),Q3 (exp.),Q2 (theor.)
0.0,0.00,100.00,2.414+-0.038,0.022,0.978,0.000
5.0,4.66,95.34,2.452+-0.012,0.07,0.93,0.049
10.0,10.41,89.59,2.533+-0.020,0.14,0.86,0.116
15.0,15.01,84.99,2.595+-0.016,0.25,0.75,0.177
20.0,19.14,80.86,2.649+-0.045,0.32,0.68,0.237
25.0,24.65,75.35,2.655+-0.040,0.42,0.58,0.327
30.0,30.28,69.72,2.729+-0.043,0.51,0.49,0.434
33.3,32.00,68.00,2.760+-0.110,0.55,0.45,0.471
33.3,32.40,67.60,2.803+-0.044,,,0.479
40.0,39.44,60.56,2.811+-0.043,0.74,0.26,0.651
45.0,43.40,56.60,2.812+-0.042,,,0.767
50.0,50.0,50.00,2.814+-0.044,0.95,0.00,1.000
