Spectral region,Oscillator no.,Inherent frequency (Table 2),"Oscillator strengths, De 0 for sample nos. (Table 1)","Oscillator strengths, De 0 for sample nos. (Table 1)","Oscillator strengths, De 0 for sample nos. (Table 1)","Oscillator strengths, De 0 for sample nos. (Table 1)","Oscillator strengths, De 0 for sample nos. (Table 1)","Oscillator strengths, De 0 for sample nos. (Table 1)",Estimates for sample 7 interpolated,Estimates for sample 7 interpolated,
Spectral region,Oscillator no.,Inherent frequency (Table 2),1,2,3,6,7,8,De 0int,De0   De0int,
Less than 1500 cm-1,1,1020.5+-0.5,6.36x10-2,4.49x10-2,6.79x10-2,2.96x10-2,1.77x10-2,6.50x10-3,-,-,
Less than 1500 cm-1,2a,1202,-,-,-,-,-,1.43x10-3,-,-,
Less than 1500 cm-1,2b,1398+-12,2.78x10-3,2.17x10-3,2.77x10-3,2.02x10-3,1.64x10-3,2.99x10-4,-,-,
,,,,,,,,,,,
1500-2450 cm-1,3,1539-1606,3.46x10-4,3.03x10-4,3.67x10-4,2.77x10-4,3.34x10-4,2.41x10-4,2.58x10-4,1.29,
1500-2450 cm-1,4,1674,-,-,-,-,3.16x10-5,-,-,-,
1500-2450 cm-1,5,1670-1745,7.43x10-4,6.27x10-4,6.98x10-4,6.00x10-4,6.23x10-4,4.22x10-4,5.04x10-4,1.24,
1500-2450 cm-1,6,1807-1840,2.19x10-4,2.17x10-4,2.31x10-4,1.80x10-4,2.20x10-4,1.56x10-4,1.67x10-4,1.32,
1500-2450 cm-1,7,1903-1927,2.44x10-4,1.28x10-4,2.14x10-4,1.50x10-4,1.97x10-4,1.41x10-4,1.45x10-4,1.36,
1500-2450 cm-1,8,2030-2107,1.99x10-4,1.98x10-4,2.52x10-4,2.37x10-4,3.07x10-4,1.31x10-4,1.80x10-4,1.71,
1500-2450 cm-1,9,2302+-8,7.07x10-5,6.53x10-5,4.30x10-5,1.38x10-5,9.60x10-5,2.08x10-5,1.76x10-5,5.45,
,,,,,,,,,,,
2450-3700 cm-1,10,2542+-15,1.65x10-5,7.62x10-6,1.48x10-5,5.57x10-6,4.79x10-5,3.84x10-6,4.64x10-6,10.3,
2450-3700 cm-1,11,2750+-11,5.09x10-5,4.49x10-5,2.21x10-5,9.91x10-6,1.27x10-4,1.33x10-5,1.17x10-5,10.9,
2450-3700 cm-1,12,2910+-3,5.10x10-6,4.75x10-6,6.81x10-6,1.73x10-6,9.23x10-6,2.20x10-6,1.98x10-6,4.66,
2450-3700 cm-1,13,2959+-7,1.38x10-5,1.27x10-5,1.21x10-5,2.93x10-6,3.29x10-5,3.00x10-6,2.97x10-6,11.1,
2450-3700 cm-1,14,3200+-9,1.77x10-5,1.86x10-5,1.90x10-5,5.62x10-6,5.80x10-5,4.85x10-6,5.20x10-6,11.2,
2450-3700 cm-1,15,3393+-6,2.50x10-6,2.39x10-6,5.67x10-6,1.67x10-6,1.74x10-5,1.62x10-6,1.64x10-6,10.6,
2450-3700 cm-1,16,3524+-14,3.29x10-6,3.41x10-6,7.53x10-6,1.45x10-6,1.33x10-5,1.01x10-6,1.21x10-6,11.0,
2450-3700 cm-1,17,3595+-14,7.49x10-7,7.80x10-7,1.23x10-6,4.13x10-7,3.10x10-6,3.41x10-7,3.74x10-7,8.29,
2450-3700 cm-1,,,,,,,,,,,
3700-7500 cm-1,18,3735+-16,1.86x10-8,1.69x10-8,0.160x10-6,9.50x10-8,7.05x10-7,8.60x10-8,9.02x10-8,7.82,
3700-7500 cm-1,19,3810+-4,5.17x10-8,5.07x10-8,0.536x10-6,5.19x10-8,5.34x10-7,4.19x10-8,4.65x10-8,11.5,
3700-7500 cm-1,20,3911,1.69x10-7,1.74x10-7,0.499x10-6,2.20x10-7,1.64x10-6,1.80x10-7,1.98x10-7,8.28,
3700-7500 cm-1,21,4130+-2,1.54x10-7,1.56x10-7,0.382x10-6,1.41x10-7,1.12x10-6,1.11x10-7,1.25x10-7,8.96,
3700-7500 cm-1,22,4383+-2,1.39x10-7,1.39x10-7,0.576x10-6,1.14x10-7,9.17x10-7,8.04x10-8,9.59x10-8,9.56,
3700-7500 cm-1,23,4474+-9,2.79x10-8,2.79x10-8,0.678x10-7,2.75x10-8,2.72x10-7,2.45x10-8,2.59x10-8,10.5,
3700-7500 cm-1,24,4744+-2,8.29x10-8,8.29x10-8,0.527x10-6,1.30x10-7,5.55x10-7,7.01x10-8,9.78x10-8,5.67,
3700-7500 cm-1,25,5250,1.30x10-8,1.30x10-8,1.21x10-6,2.10x10-7,7.40x10-7,1.29x10-7,1.66x10-7,4.46,
3700-7500 cm-1,26,6200,6.71x10-8,6.71x10-8,6.87x10-8,6.70x10-8,6.71x10-8,6.71x10-8,-,-,
3700-7500 cm-1,27,7021,7.49x10-9,7.49x10-9,5.56x10-8,2.27x10-8,1.60x10-8,1.10x10-8,-,-,
,,,,,,,,,,,
>7200 cm-1,28,12000,9.04x10-8,9.04x10-8,3.08x10-7,1.66x10-7,9.51x10-7,8.06x10-8,-,-,
