Acronym,TeO2,ZnO,ZnCl2,ErCl3,DSC [4] (10degC/min),DSC [4] (10degC/min),DSC [4] (10degC/min),Dynamic XRD (4degC/min),Isothermal XRD
,,,,,T g (degC),T  x     (degC),T  x -T g,T  x  (degC),T (degC)/time (min)
,,,,,+-4degC,+-4degC,+-4degC,+-2degC,+-2degC
622,60,20,20,-,273,460,187,400,400/5.5
622-1,60,20,20,1,300,477,178,410,400/20
622-2,60,20,20,2,324,462,138,440,400/80
622-3,60,20,20,3,331,501,170,510,420/85
622-5,60,20,20,5,311,485,174,440,420/45
622-10,60,20,20,10,327,421,94,430,500/6
,,,,,,,,,
424,40,20,40,-,232,525 (346),293 (114),314,-
424-1,40,20,40,1,261,496 (383),235 (122),373,350/18
424-3,40,20,40,3,266,492 (384),226 (118),383,375/28
424-5,40,20,40,5,294,587 (368),293 (74),400,375/48
424-10,40,20,40,10,293,448 (373),155 (80),-,-
