,,r (A),N,s (A),AFAC,DE 0 (eV),k-range (  A    -1) fit-index
ZT(10),Zr-O,2.07+-0.02,6,0.071+-0.011,0.80,24.9,3.80-15.80
,Zr-Ti,3.14+-0.03,4,0.084+-0.013,,,38.8
,,,,,,,
ZT(18),Zr-O,2.08+-0.02,6,0.079+-0.012,0.80,23.7,3.78-15.80
,Zr-Ti,3.15+-0.03,3,0.087+-0.013,,,38.5
,,,,,,,
ZT(45),Zr-O,2.08+-0.02,4,0.059+-0.009,0.80,20.0,3.40-14.00
ZT(45),Zr-O,2.24+-0.02,2,0.050+-0.008,,,35.0
ZT(45),Zr-Zr,3.43+-0.03,2,0.100+-0.015,,,
,,,,,,,
Zr0.41Ti0.59O2 [17] ND,Zr-O,2.12,4,,,,
Zr0.41Ti0.59O2 [17] ND,Zr-O,2.27,2,,,,
Zr0.41Ti0.59O2 [17] ND,Zr-Ti,3.30,2,,,,
Zr0.41Ti0.59O2 [17] ND,Zr-Zr,3.56,1,,,,
