Series,x (mol%),Comp.,Na2O,Al2O3,Fe2O3,P2O5,MgO,CaO,SiO2,Sum
I,0,Target,24.3,"20,0",-,"55,7",-,-,-,100.0
I,0,Analyzed,26.0,17.7,0.2,54.7,0.1,-,1.2,99.9
5,Target,23.6,14.6,7.6,54.1,-,-,-,100.0,
5,Analyzed,24.1,13.4,7.9,52.3,0.1,0.1,1.7,99.7,
10,Target,23.0,9.5,14.8,52.7,-,-,-,100.0,
10,Analyzed,23.3,8.9,14.8,50.8,0.1,-,2.0,99.9,
15,Target,22.4,4.6,21.7,51.3,-,-,-,100.0,
15,Analyzed,22.5,4.4,22.0,49.1,0.1,-,1.9,99.9,
20,Target,21.8,-,28.2,50.0,-,-,-,100.0,
20,Analyzed,21.5,0.1,27.4,47.6,0.1,-,3.0,99.8,
II,0,Target,20.5,19.2,-,60.3,-,-,-,100.0
II,0,Analyzed,21.2,18.8,0.2,58.3,-,0.1,1.3,99.9
5,Target,19.9,14.0,7.3,58.7,-,-,-,100.0,
5,Analyzed,20.3,13.7,7.6,57.1,0.1,0.1,1.1,100.0,
10,Target,19.4,9.1,14.3,57.2,-,-,-,100.0,
10,Analyzed,19.0,8.8,14.0,56.8,0.1,0.1,1.2,100.0,
15,Target,18.9,4.5,20.9,55.7,-,-,-,100.0,
15,Analyzed,18.8,4.5,21.1,54.2,0.1,0.1,1.4,100.2,
20,Target,18.5,-,27.2,54.3,-,-,-,100.0,
20,Analyzed,18.2,0.2,27.3,53.0,-,-,1.4,100.1,
