f-Units,Packing fraction,Least squares volume,Packing fraction,Least squares volume
,,(V 1(R=0)=1),,(V 1(R=0)=1)
,Mg,Mg,Ca,Ca
1,0.34,0.98,0.34,0.98
2,0.63,0.95,0.71,0.95
3,0.39,1.26,0.44,1.28
4,0.44,1.46,0.48,1.66
,,,,
,,(V 1(0)=1),,(V 1(0)=1)
,Sr,Sr,Ba,Ba
1,0.36,0.94,0.35,0.97
2,0.68,1.08,0.73,1.13
3,0.45,1.41,0.47,1.55
4,0.48,1.92,0.51,2.16
,,,,
,,(V 1(R=0)=1),,(V 1(0)=1)
,Li,Li,Na,Na
1,0.34,0.98,0.35,0.95
2,0.65,0.94,0.62,1.24
3,0.39,1.28,0.41,1.58
4,0.41,1.61,0.46,2.12
,,,,
,,(V 1(0)=1),,(V 1(0)=1)
,K,K,Rb,Rb
1,0.35,0.95,0.34,0.98
2,0.69,1.66,0.67,1.92
3,0.52,1.99,0.52,2.27
4,0.59,2.95,0.59,3.41
,,,,
,,(V 1(0)=1),,
,Cs,Cs,,
1,0.34,0.97,,
2,0.67,2.28,,
3,0.54,2.62,,
4,0.61,4.13,,
