Normalized mass release (g/m2),TFB20-40 (#3),TFB20-40 (#3),TFB30-35F10 (#19),TFB30-35F10 (#19),CVS-IS,CVS-IS,LD6-54-12,FZ-1
Normalized mass release (g/m2),Glass,Crystallized,Glass,Crystallized,Glass,Crystallized,Glass,Glass
r Al,0.120,0.007,0.111,0.306,-,-,0.098,0.795
r Na,0.274,0.103,0.534,0.645,1.1-1.5,1.134,0.376,0.723
r P,0.087,0.041,0.164,0.016,-,-,-,0.246
r Si,0.053,0.067,0.056,0.210,~0.4,0.381,0.104,-
r Fe(10-5),197,29,29,-,-,-,-,<10
r Ca(10-4),-,-,51,-,-,-,500,30
r B,-,-,-,-,1.4-2.0,1.529,0.112,-
r K,-,-,-,-,-,-,-,0.113
r Li,-,-,-,-,1.1-1.7,1.091,-,-
r Mo,-,-,-,-,~2.1,-,-,-
r Cs,-,-,-,-,0.06-0.13,-,-,-
pHi/pHf,6.5/7.2,6.5/7.1,6.5/9.3,6.5/7.8,5.9/~10.3,-,5.7/11.4,5.4/9.4
