Glass,E 1 (kJ/mol),E 1 (kJ/mol),E 2 (kJ/mol),E 2 (kJ/mol),E relax (kJ/mol),Durability (% wt. loss)
Glass,n = m =1,n = m =3,n = m =1,n = m =3,E relax (kJ/mol),Durability (% wt. loss)
NaAlP,250+-12 (0.9887),259+-12 (0.9894),228+-16 (0.9763),237+-16 (0.9781),553+-43 (0.9711),0.50+-0.18
NaAlP-Fe1,354+-33 (0.9739),363+-33 (0.9751),376+-31 (0.9737),385+-31 (0.9750),696+-41 (0.9932),0.11+-0.10
NaAlP-Fe2,216+-9 (0.9660),225+-10 (0.9687),293+-12 (0.9730),303+-20 (0.9785),722+-55 (0.9885),0.07+-0.06
NaAlP-Fe3,327+-13 (0.9955),336+-13 (0.9957),208+-13 (0.9878),217+-13 (0.9889),763+-78 (0.9796),0.18+-0.00
NaAlP-Fe4,273+-24 (0.0849),282+-24 (0.9858),-,-,789+-44 (0.9907),0.05+-0.17
NaAlP-FeB,305+-11 (0.9929),314+-10 (0.9934),-,-,576+-35 (0.9814),-
NaAlP-B1,367+-33 (0.9687),375+-33 (0.9702),203+-9 (0.9928),213+-9 (0.9935),762+-22 (0.9974),1.34+-0.19
NaAlP-B2,253+-19 (0.9610),263+-19 (0.9635),256+-13 (0.9555),250+-13 (0.9834),696+-38 (0.9910),1.09+-0.05
NaAlP-B3,181+-10 (0.9936),190+-10 (0.9942),-,-,702+-33 (0.9975),1.13+-0.25
NaAlP-B4,298+-24 (0.9450),308+-24 (0.9482),-,-,696+-22 (0.9969),0.74+-0.17
NaAlP-B5,235+-9 (0.9893),244+-9 (0.9904),-,-,664+-11 (0.9991),1.75+-0.07
NaAlP-B6,212+-24 (0.9637),222+-24 (0.9667),-,-,665+-44 (0.9873),5.12+-0.18
