Frequency region (cm -1),Oscillator number,Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1),Inherent frequencies oj  for sample numbers (cm-1)
Frequency region (cm -1),Oscillator number,Around zinc pyrophosphate,Around zinc pyrophosphate,Around zinc pyrophosphate,Averages,Around zinc pyrophosphate,Mixed alkali zinc pyrophosphates,Mixed alkali zinc pyrophosphates,Mixed alkali zinc pyrophosphates,
Frequency region (cm -1),Oscillator number,1a,1b,1c,Averages,1d,1e,2,3,4
Up to 1600,1,1304,1304,1304,1304,1304,1304,1304,1309,1311
Up to 1600,2,1487,1508,1510,1508,1508,1500+-13,1494,1493,1490
1600-2600,3,1679,1677,1684,1677,1677,1680+-4,1682,1674,1670
1600-2600,4,1789,1785,1785,1785,1785,1785+-4,1780,1773,1769
1600-2600,5,2054,2059,2045,2061,2069,2060+-15,2060,2100,2112
1600-2600,6,2323,2331,2337,2331,2320,2330+-10,2308,2277,2277
2600-3600,7,2911,2974,2910,2945,2837,-,2836,2837,2837
2600-3600,8,2911,2974,2910,2945,2956,-,2928,2940,2925
2600-3600,9,3224,3218,3240,3202,3176,-,3175,3175,3175
2600-3600,10,3224,3218,3240,3202,3400,-,3414,3415,3417
