Sample,Composition (mol%),Composition (mol%),Composition (mol%),Composition (mol%),Density d (gcm-3),Glass molar volume Vm  (cm3 mol-1),Additive volume Vo  (cm3),Volume deviation Vx  (cm3),N4 (+-0.01),% [4]Al (+-3),% [5]Al (+-3),% [6]Al (+-2),Absorption edge Eo  (eV) (+-0.1),Urbach energy DE (eV) (+-0.01),Tg  1 (degC),T c1 (degC),T l1 (degC),T l2 (degC),fN  BO (%)
Sample,PbO,B2O3,Al2O3,SiO2,Density d (gcm-3),Glass molar volume Vm  (cm3 mol-1),Additive volume Vo  (cm3),Volume deviation Vx  (cm3),N4 (+-0.01),% [4]Al (+-3),% [5]Al (+-3),% [6]Al (+-2),Absorption edge Eo  (eV) (+-0.1),Urbach energy DE (eV) (+-0.01),Tg  1 (degC),T c1 (degC),T l1 (degC),T l2 (degC),fN  BO (%)
PB-30,30,70,-,-,4.172+-0.001,27.73,33.95,-6.22,0.35,-,-,-,3.8,0.10,487,728,798,-,5
PB-40,40,60,-,-,4.964+-0.001,26.40,32.45,-6.05,0.43,-,-,-,3.5,0.13,454,576,671,780,13
PB-50,50,50,-,-,5.677+-0.002,25.79,30.94,-5.15,0.45,-,-,-,3.2,0.15,406,551,598,651,27
PB-60,60,40,-,-,6.303+-0.003,25.66,29.44,-3.78,0.39,-,-,-,2.8,0.20,351,497,566,-,49
PBA-2,50,48,2,-,5.582+-0.004,26.34,30.69,-4.35,0.41,70,20,10,3.2,0.14,407,-,-,-,27
PBA-4,50,46,4,-,5.550+-0.003,26.61,30.43,-3.82,0.37,69,18,13,3.1,0.17,397,-,-,-,29
PBA-6,50,44,6,-,5.538+-0.002,26.79,30.17,-3.38,0.33,67,20,13,3.2,0.15,395,-,-,-,27
PBA-8,50,42,8,-,5.502+-0.003,27.08,29.92,-2.84,0.29,69,20,11,3.2,0.15,392,-,-,-,26
PBS-5,50,45,-,5,5.701+-0.004,25.60,30.17,-4.57,0.45,-,-,-,3.0,0.17,406,-,-,-,29
PBS-10,50,40,-,10,5.760+-0.002,25.25,29.39,-4.14,0.44,-,-,-,2.6,0.28,402,-,-,-,37
PBS-20,50,30,-,20,5.817+-0.002,24.84,27.84,-3.00,0.44,-,-,-,2.7,0.29,399,-,-,-,40
PBS-30,50,20,-,30,5.860+-0.001,24.50,26.28,-1.78,0.41,-,-,-,2.7,0.28,396,-,-,-,49
PBAS-2,50,43,2,5,5.672+-0.003,25.84,29.91,-4.07,0.41,85,7,8,2.9,0.22,401,-,-,-,31
PBAS-4,50,41,4,5,5.604+-0.004,26.27,29.65,-3.38,0.37,77,13,10,3.0,0.20,397,-,-,-,31
PBAS-6,50,39,6,5,5.564+-0.003,26.58,29.40,-2.82,0.33,73,18,9,3.0,0.20,394,-,-,-,29
PBAS-8,50,37,8,5,5.532+-0.003,26.86,29.14,-2.28,0.29,75,15,10,3.0,0.20,393,-,-,-,29
