Glasses,O (1s),Na (1s),P (2s),B (1s),P (2p),Ca (2p3/2),Nb (3d5/2)
NaPO3 [7],533.9 (POP),1072.2,192.2,,134.9,,
NaPO3 [7],531.9 (PO-),,,,,,
,,,,,,,
Na2B4O7 [8],532.1 (1.4),1070.6,,191.8,,,
Na2B4O7 [8],531.3 (1.4),(1.6),,(1.8),,,
Na2B4O7 [8],530.4 (1.3),,,,,,
,,,,,,,
0.95NaPO30.05Na2B4O7 [8],532.8 (1.5) (POP),1071.0,191,192.3,,,
0.95NaPO30.05Na2B4O7 [8],531.8 (1.4) (POB),(1.6),(2.1),(1.8),,,
0.95NaPO30.05Na2B4O7 [8],530.9 (1.4)(PO-),,,,,,
,,,,,,,
0.90Ca(PO3)2-0.10 Fe2O3 [9],531.5 (weak shoulder at high binding energy),,,,133.8,347.4,
,,,,,,,
NbTiP3O12 [10],,,,,,,208.2
,,,,,,,
Ca(PO3)2,532.3 (1.9) (POP),,191.4,,134.2,347.5,
Ca(PO3)2,530.6 (1.9) (PO-),,(1.8),,(1.8),(1.8),
,,,,,,,
0.9Ca(PO3)2-0.1CaB4O7,533.3 (1.9) (POP),,191.8,193.3,134.2,347.6,
0.9Ca(PO3)2-0.1CaB4O7,532.6 (1.9) (POB),,(1.8),(1.8),(1.8),(1.8),
0.9Ca(PO3)2-0.1CaB4O7,531.5 (1.9) (PO-),,,,,,
,,,,,,,
0.9(0.9Ca(PO3)2-0.1CaB4O7)-0.1Nb2O5,533.4 (1.8) (POP),,191.5,193.3,134.0,347.4,208.1
0.9(0.9Ca(PO3)2-0.1CaB4O7)-0.1Nb2O5,532.5 (1.8) (POB),,(1.8),(1.8),(1.8),(1.7),(1.8)
0.9(0.9Ca(PO3)2-0.1CaB4O7)-0.1Nb2O5,531.5 (1.8) (PO-),,,,,,
0.9(0.9Ca(PO3)2-0.1CaB4O7)-0.1Nb2O5,530.6 (1.8),,,,,,
