Spectral regions,Oscillator no.,Inherent frequencies for sample nos. in accord with Table 1,Inherent frequencies for sample nos. in accord with Table 1,Inherent frequencies for sample nos. in accord with Table 1,Inherent frequencies for sample nos. in accord with Table 1,Inherent frequencies for sample nos. in accord with Table 1,Inherent frequencies for sample nos. in accord with Table 1,Spread or range
Spectral regions,Oscillator no.,1,2,3,6,7,8,Spread or range
Less than 1500 cm-1,1,1020.5,1020.6,1020.8,1020.3,1020.3,883.0,1020.5+-0.5
Less than 1500 cm-1,2a,-,-,-,-,-,1202.2,-
Less than 1500 cm-1,2b,1408.9,1407.8,1406.0,1386.4,1397.6,1399.4,1398+-12
,,,,,,,,
1500-2450 cm-1,3,1596.7,1585.7,1605.9,1589.7,1582.0,1539.3,1539-1606
1500-2450 cm-1,4,-,-,-,-,1674.3,-,-
1500-2450 cm-1,5,1742.9,1722.2,1744.8,1715.8,1707.8,1669.5,1670-1745
1500-2450 cm-1,6,1832.7,1839.8,1839.4,1835.5,1824.4,1807.2,1807-1840
1500-2450 cm-1,7,1917.0,1903.0,1914.3,1913.2,1927.0,1925.8,1903-1927
1500-2450 cm-1,8,2106.5,2097.3,2070.8,2047.4,2046.8,2029.9,2030-2107
1500-2450 cm-1,9,2300.4,2300.4,2308.8,2327.7,2326.5,2294.2,2302+- 8
,,,,,,,,
2450-3700 cm-1,10,2538.0,2557.1,2541.6,2528.1,2527.0,2532.3,2542+-15
2450-3700 cm-1,11,2740.2,2754.8,2741.4,2760.5,2760.5,2760.1,2750+-11
2450-3700 cm-1,12,2912.2,2910.2,2910.5,2907.9,2907.9,2907.6,2910+-3
2450-3700 cm-1,13,2952.4,2963.5,2956.0,2965.1,2965.1,2965.9,2959+-7
2450-3700 cm-1,14,3203.5,3202.2,3208.6,3193.4,3193.4,3191.2,3200+-9
2450-3700 cm-1,15,3399.0,3398.8,3394.1,3388.0,3388.0,3391.6,3393+-6
2450-3700 cm-1,16,3533.7,3538.4,3530.8,3510.8,3510.8,3510.1,3524+-14
2450-3700 cm-1,17,3602.3,3607.7,3592.3,3581.8,3581.8,3581.5,3595+-14
,,,,,,,,
3700-7500 cm-1,18,3728.4,3728.4,3750.4,3720.4,3720.4,3720.4,3735+-16
3700-7500 cm-1,19,3813.8,3813.8,3813.8,3813.8,3806.8,3813.8,3810+-14
3700-7500 cm-1,20,3910.6,3910.6,3910.6,3910.6,3910.6,3910.6,3911
3700-7500 cm-1,21,4130.6,4130.6,4130.6,4130.6,4128.6,4130.6,4130+-2
3700-7500 cm-1,22,4384.7,4384.7,4384.7,4381.6,4381.6,4381.6,4383+-2
3700-7500 cm-1,23,4482.1,4482.1,4482.1,4470.0,4465.9,4470.0,4474+-9
3700-7500 cm-1,24,4742.5,4742.5,4742.5,4742.5,4745.7,4742.5,4744+-2
3700-7500 cm-1,25,5250.2,5250.2,5250.2,5250.2,5250.2,5250.2,5250
3700-7500 cm-1,26,6200,6200,6200,6200,6200,6200,6200
3700-7500 cm-1,27,7020.9,7020.9,7020.9,7020.9,7020.9,7020.9,7021
,,,,,,,,
>7200 cm-1,28,12000,12000,12000,12000,12000,12000,12000
