,SiO2,CaO,Na2O,P2O5,TiO2,NBO/T,CaO/(CaO+Na2O),m,L
1,57.0,-,41.9,1.1,-,1.36,0,0.91,0.65
2,57.0,13.6,28.2,1.2,-,1.35,0.33,0.82,0.64
3,57.0,20.9,20.9,1.2,-,1.35,0.5,0.80,0.63
4,57.0,28.1,13.7,1.2,-,1.35,0.67,0.88,0.63
5,57.4,35.1,6.3,1.2,-,1.32,0.85,0.87,0.62
6,63.2,-,37.5,1.1,-,1.1,0,0.61,0.62
7,63.2,5.3,30.5,1.2,-,1.0,0.15,0.62,0.61
8,63.9,17.7,17.5,0.8,-,1.0,0.5,0.69,0.61
9,63.3,21.2,14.3,1.2,-,1.0,0.6,0.76,0.60
10,66.9,28.0,5.1,,-,1.0,0.85,-,0.59
11,65.8,28.7,5.1,0.4,-,1.0,0.85,0.84,0.59
12,63.5,29.9,5.4,1.2,-,1.0,0.85,0.87,0.59
13,60.2,31.7,5.7,2.4,-,1.0,0.85,0.84,0.59
14,58.7,-,35.4,1.2,4.7,-,-,-,-
15,53.6,-,35.4,1.2,9.8,-,-,-,-
16,50.0,-,38,2.5,9.5,-,-,-,-
