Glasses,Glasses,Glasses,T g (degC),Tx  (degC),T m (degC),r (g/cm3),n
K2O,WO3,TeO2,T g (degC),Tx  (degC),T m (degC),r (g/cm3),n
K2O,WO3,TeO2,(+-2),(+-2),(+-2),(+-0.01),(+-0.02)
0,10,90,330,427,628,5.79,2.17
5,5,90,306,416,687,5.60,2.11
10,0,90,281,416,459,5.08,2.05
0,20,80,353,506,630,5.97,2.17
10,10,80,308,456,619,5.31,2.04
15,5,80,275,370,,4.98,1.99
20,0,80,235,320,487,4.57,1.92
0,30,70,368,536,630,6.11,2.16
10,20,70,344,509,604,5.50,2.05
15,15,70,307,,,5.13,1.99
20,10,70,269,,,4.79,1.92
5,35,60,388,,,5.94,2.11
10,30,60,361,,,5.61,2.05
15,25,60,331,,,5.35,2.00
20,20,60,300,,,5.02,1.92
25,15,60,252,416,454,4.62,1.86
22.5,22.5,55,296,,,4.96,1.90
23.75,23.75,52.5,294,,,,
15,35,50,370,538,636,5.51,1.99
20,30,50,331,,,5.13,1.92
25,25,50,281,419,482,4.83,1.87
27.5,27.5,45,280,375,477,4.82,1.84
15,45,40,396,511,665,,
20,40,40,363,486,630,5.32,1.92
25,35,40,314,452,504,5.08,1.86
20,50,30,380,458,684,,
25,45,30,345,439,544,5.21,1.85
30,40,30,290,377,511,,
25,55,20,369,439,550,,
30,50,20,325,422,550,5.02,1.62
