Glass (melter),Sugar ratio,Na2O,Network modifier,Network modifier,Fe2O3,Network formers,Network formers,V2O5,SO3,Other oxides
LB100-G-103B (DM100),0.62,7.93,CaO,4.83,5.00,Al2O3,5.60,3.26,0.39,6.40
LB100-G-103B (DM100),0.62,7.93,Li2O,3.02,5.00,B2O3,12.34,3.26,0.39,6.40
LB100-G-103B (DM100),0.62,7.93,K2O,0.30,5.00,SiO2,47.87,3.26,0.39,6.40
LB100-G-103B (DM100),0.62,7.93,MgO,2.57,5.00,,,3.26,0.39,6.40
LB100-G-112A (DM100),0.50,7.35,CaO,4.73,4.94,Al2O3,6.04,3.53,0.51,5.32
LB100-G-112A (DM100),0.50,7.35,Li2O,3.02,4.94,B2O3,12.34,3.53,0.51,5.32
LB100-G-112A (DM100),0.50,7.35,K2O,0.31,4.94,SiO2,48.53,3.53,0.51,5.32
LB100-G-112A (DM100),0.50,7.35,MgO,2.78,4.94,,,3.53,0.51,5.32
LB100-G-17B (DM100),0.50,7.31,CaO,5.49,5.17,Al2O3,5.92,2.52,0.53,5.10
LB100-G-17B (DM100),0.50,7.31,Li2O,3.56,5.17,B2O3,12.34,2.52,0.53,5.10
LB100-G-17B (DM100),0.50,7.31,K2O,0.30,5.17,SiO2,48.08,2.52,0.53,5.10
LB100-G-17B (DM100),0.50,7.31,MgO,3.10,5.17,,,2.52,0.53,5.10
LB100-G-34A (DM100),0.50,7.33,CaO,5.76,4.85,Al2O3,6.31,1.37,0.51,4.93
LB100-G-34A (DM100),0.50,7.33,Li2O,4.09,4.85,B2O3,12.34,1.37,0.51,4.93
LB100-G-34A (DM100),0.50,7.33,K2O,0.30,4.85,SiO2,48.72,1.37,0.51,4.93
LB100-G-34A (DM100),0.50,7.33,MgO,2.81,4.85,,,1.37,0.51,4.93
LB100-G-131B (DM100),0.10,7.96,CaO,4.46,4.91,Al2O3,5.77,3.64,0.55,5.51
LB100-G-131B (DM100),0.10,7.96,Li2O,3.02,4.91,B2O3,12.34,3.64,0.55,5.51
LB100-G-131B (DM100),0.10,7.96,K2O,0.29,4.91,SiO2,48.29,3.64,0.55,5.51
LB100-G-131B (DM100),0.10,7.96,MgO,2.85,4.91,,,3.64,0.55,5.51
LAWBS3-G-152C (DM10),0.75,8.91,CaO,4.47,5.25,Al2O3,5.16,3.62,0.58,6.56
LAWBS3-G-152C (DM10),0.75,8.91,Li2O,2.96,5.25,B2O3,12.09,3.62,0.58,6.56
LAWBS3-G-152C (DM10),0.75,8.91,K2O,0.30,5.25,SiO2,47.57,3.62,0.58,6.56
LAWBS3-G-152C (DM10),0.75,8.91,MgO,2.35,5.25,,,3.62,0.58,6.56
LAWBS3-G-148A (DM10),0.50,8.52,CaO,4.53,4.95,Al2O3,5.50,3.29,1.10,5.49
LAWBS3-G-148A (DM10),0.50,8.52,Li2O,2.96,4.95,B2O3,12.09,3.29,1.10,5.49
LAWBS3-G-148A (DM10),0.50,8.52,K2O,0.29,4.95,SiO2,48.11,3.29,1.10,5.49
LAWBS3-G-148A (DM10),0.50,8.52,MgO,2.63,4.95,,,3.29,1.10,5.49
