,SiO2,KBS,NABS,NBS1,NCS
Na2O (mol%),,1,9.5,16,16
K2O (mol%),,5,,,
MnO (mol%),,Li2O:1,,,CaO:10
B2O3 (mol%),,19,15.2,10,
SiO2 (mol%),100,72,72.4,74,74
Al2O3 (mol%),,2,2.9,-,
K (SiO2/B2O3),,3.8,4.8,7.4,
R (Na2O/B2O3),,0.37,0.63,1.6,
N4(B) from B-NMR,,0.35 [27],n.a.,0.82 [16],
N4(B) from model,,0.37,0.63,0.94,
%(Si+B) with 1 NBO,0,0 (<3.5),0 (<6),13.4,70
Tg (degC) +-2degC,1130,523,585,550,530
Tm (degC) +-2degC,2000,1450,1500,1450,1450
a (10-6 K-1)+-5K-1,0.58,5.4,n.a.,8.8,9.9
r (g/cm3)+-0.01g/cm3,2.2,2.27,2.31,2.45,2.48
Vm  (cm3/mol),27.3,27.5,25.4,25.8,24.2
OH  (mol%) d,0.0003,0.14,0.003,0.12,0.05
E (GPa) +- 1 GPa,67.8,63.3,75,75.3,74.8
Poisson ratio v,0.16,n.a.,0.21,0.21,0.22
pm [GPa],14.06,n.a.,15.85,15.85,15.68
