,1Al5Er,5Al5Er,10AL5ER,15AL5ER,20AL5ER,1Al10Er,5Al10Er,10AL10ER,15AL10ER,20AL10ER,Ref.
O2-O2,2.56,2.56,2.58,2.56,2.58,2.56,2.58,2.56,2.58,2.59,"[16,19,26]"
O2-Si,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,"[16,19,27]"
O2-Na,2.42,2.43,2.43,2.43,2.43,2.37,2.42,2.43,2.43,2.46,"[16,22]"
O2-Al,1.68,1.68,1.66,1.66,1.66,1.68,1.68,1.66,1.66,1.66,"[18,28]"
O2-Ca,2.26,2.26,2.24,2.24,2.27,2.21,2.24,2.27,2.27,2.27,"[26,29,30]"
O2-Er,2.18,2.19,2.16,2.18,2.19,2.22,2.21,2.21,2.19,2.16,[13-15]
Si-Si,3.18,3.17,3.17,3.17,3.15,3.14,3.18,3.17,3.17,3.20,"[16,22]"
Si-Na,3.22,3.26,3.25,3.25,3.23,3.25,3.22,3.25,3.36,3.34,"[16,31]"
Si-Ca,3.42,3.49,3.42,3.46,3.39,3.41,3.44,3.49,3.52,3.47,"[29,30]"
Na-Na,3.15,3.10,3.09,3.02,2.98,2.90,3.15,3.26,3.36,3.46,"[16,32]"
