Chemical shift (ppm),Assignment,References
-42.32+-0.001,T 0 1,[4]
-44.32+-0.001,T0,this work
-51.60   +-0.001,T1,[30]
-51.92   +-0.001,T1Q1,"[23,30]"
-52.28   +-0.001,T1T1,[30]
-57.69   +-0.001,T 2 1,[4]
-76.56+-0.001,Q 0 2,[8]
-78.99+-0.001,Q 0 1,"[4,6]"
-81.86+-0.001,Q0,this work
-83.96+-0.001,Si*(OR)(OH)2OSi(OR)3,[4]
-85.67+-0.001,Si*(OR)2OHOSi(OR)3,"[6,8]"
-86.24+-0.001,Si*(OR)2(OH)OSi(OH)3,"[6,8]"
-87.65+-0.001,SiOSi*(OC2H5)2OH,"[4,24]"
-88.79+-0.001,Q1T1,"[6,8,30]"
-88.96 +-0.001,SiOSi,"[6,30]"
-92.74+-0.001,SiOSi*OHOSi,[8]
-93.03+-0.001,SiOSi*OHOSiOSi,[6]
-95.12+-0.001,SiOSi*OSi,[4]
-96.18+-0.001,(OH)SiOSi*OSiOSi,[6]
-96.33 +-0.001,SiOSi*OSiOSi,[8]
-101.23   +-0.001,(SiO)3Si*OH,"[4,24]"
-103.00   +-0.001,(SiO)3Si*OC2H5,"[4,24]"
