Glass,G (GPa),K (GPa),E (GPa),v,E (GPa),H (GPa),m,H V (GPa),CR (N)
2N8B,17.8,35.2,45.8,0.283,41.3+-0.2,4.09+-0.03,0.0283,3.53+-0.20,3.30
NBS A,16.8+-0.1,30.6+-0.5,42.6+-0.7,0.268+-0.006,41.6+-0.2,3.96+-0.03,0.0259,3.58+-0.12,6.55
NBS B,13.3+-0.1,23.0+-0.3,33.5+-0.5,0.257+-0.005,32.1+-0.1,3.68+-0.03,0.0270,3.15+-0.15,12.16
NBS C,23.1+-0.2,36.5+-0.7,57.3+-1.0,0.238+-0.007,57.1+-0.2,5.33+-0.03,0.0279,5.35+-0.33,7.26
NBS D,18.6+-0.1,29.1+-0.5,46.0+-0.7,0.237+-0.005,44.4+-0.1,4.98+-0.03,0.0240,3.75+-0.18,6.83
NBS1,32.7+-0.2,44.4+-0.6,78.8+-1.0,0.204+-0.004,81.4+-0.3,7.26+-0.04,0.0211,6.20+-0.32,0.41
NBS2,23.0+-0.2,32.1+-0.6,55.7+-1.0,0.210+-0.006,50.6+-0.2,5.89+-0.04,0.0209,4.25+-0.22,3.44
Duran,26.7,35.6,64.0,0.200,61.9+-0.2,7.18+-0.03,0.0180,6.47+-0.28,4.41
BK7,32.5+-0.3,44.4+-0.9,78.4+-1.5,0.206+-0.007,84.4+-0.3,7.97+-0.05,0.0223,6.62+-0.26,0.20
LBS,23.9+-0.2,32.0+-0.6,57.5+-1.0,0.201+-0.006,56.7+-0.3,7.01+-0.07,0.0149,6.42+-0.34,2.14
KBS,26.3+-0.2,36.0+-0.6,63.5+-1.1,0.206+-0.005,64.0+-0.2,6.92+-0.03,0.0181,6.33+-0.29,6.49
NCS,28.9+-0.2,42.3+-0.8,70.7+-1.3,0.221+-0.007,76.0+-0.4,6.67+-0.04,0.0164,5.36+-0.27,1.09
SiO2,29.9,35.4,70.0,0.170,71.6+-0.3,9.30+-0.12,0.0068,7.53+-0.51,-
