Classifier,XPS spectra,Parameters of the classifier,Parameters of the classifier,Parameters of the classifier,Parameters of the classifier,Parameters of the classifier
Classifier,XPS spectra,m,nc,n,k,Ek
No feature selection,No feature selection,No feature selection,No feature selection,No feature selection,No feature selection,No feature selection
A,Si 2p,118,5,85,10,0.31
A,K 2p,116,5,82,10,0.36
A,O 1s,117,5,88,3,0.08
A,Na 1s,118,5,77,4,0.47
,,,,,,
After feature selection,After feature selection,After feature selection,After feature selection,After feature selection,After feature selection,After feature selection
AFS,Si 2p,118,5,13,1,0.16
AFS,K 2p,116,5,13,13,0.19
AFS,O 1s,117,5,13,3,0.04
AFS,Na 1s,118,5,7,8,0.40
