Lanthanide ions,Level,Average Energy n (cm-1),Experimental lifetime t exp(ms),Quantum efficiencies e (%)
Pr3+,1D2,16880,96+-10,-
Pr3+,3P0,21500,18+-2,-
Nd3+,4F3/2,11480,224+-5,82+-7
Sm3+,4G5/2,17830,1653+-50,74+-16
Eu3+,5D0,17270,1629+-50,43+-10
Tb3+,5D4,20630,1780+-100,-
Tb3+,5D3,26455,213+-40,-
Dy3+,4F9/2,21140,472+-20,50+-4
Ho3+,5I7,5115,3440+-200,33+-8
Ho3+,5I6,8550,90+-10,2+-0.7
Ho3+,5S2,18580,14+-2,6   +-2
Er3+,4I13/2,6600,6100+-200,72+-10
Er3+,4I11/2,10250,226+-20,5+-1
Er3+,4S3/2,18340,40+-2,9   +-1
Tm3+,3H4,12620,481+-10,69+-6
Tm3+,1G4,21330,241+-5,55+-5
Yb3+,2F5/2,10460,670+-100,88+-18
