Wave number (cm-1),Vibration mode
420-520,"BiOBi in the [BiO6] octahedral unit [10,13]"
440-470,Bridging oxygen bending in the Si network [14]
680-720,Bending vibrations of BO in [BO3] [15]
700-715,Symmetric stretching vibrations of BiO bonds in [BiO3] [11]
780,SiOSi bending [16]
800,[SiO4] stretch vibration [16]
860-883,BiO symmetric stretch vibration in [BiO3] [17]
970-980,BOB stretch vibration in [BO4] [18]
1124-1220,Stretch vibration in SiOSi [16]
1200-1300,BO- non-bridging stretching in [BO3]
1310-1340,[BO3] vibration [16]
