x LiF,Temp. (K),Name,Lineshape,Position (+-5 ppm),FWHH (+-0.5 kHz),Area (+-3%)
0.20,123,p1,Gauss.,77,42.0,62
,,p2,Gauss.,-105,31.9,38
,403,p1,Gauss.,77,41.3,48
,,p2,Gauss.,-105,32.2,27
,,pm,Lorentz.,6,19.4,25
0.25,123,pl,Gauss.,74,39.9,61
,,p2,Gauss.,-101,31.5,39
,403,pl,Gauss.,74,36.8,37
,,p2,Gauss.,-101,32.8,27
,,pm,Lorentz.,-1,16.4,36
0.40,123,pl,Gauss.,63,42.3,64
,,p2,Gauss.,-113,32.5,36
,403,pl,Gauss.,63,38.9,41
,,p2,Gauss.,-113,33.5,26
,,pm,Lorentz.,-16,17.3,33
0.45,123,pl,Gauss.,61,40.6,59
,,p2,Gauss.,-120,34.4,41
,403,pl,Gauss.,63,35.5,34
,,p2,Gauss.,-120,32.5,24
,,pm,Lorentz.,-25,16.1,42
0.50,123,pl,Gauss.,61,40.1,58
,,p2,Gauss.,-123,35.5,42
,403,pl,Gauss.,61,35.0,27
,,p2,Gauss.,-123,31.9,20
,,pm,Lorentz.,-32,16.4,53
0.60,123,pl,Gauss.,56,40.9,59
,,p2,Gauss.,-120,35.4,41
,403,pl,Gauss.,56,37.1,29
,,p2,Gauss.,-120,29.9,18
,,pm,Lorentz.,-35,15.9,52
