,Complete data set,Complete data set,Complete data set,Model fit data,Model fit data,Model fit data,Model validity,Model validity
,Min,Ave,Max,Min,Ave,Max,Min,Max
Al,0.000,0.067,0.153,0.006,0.066,0.153,0.006,0.153
B,0.000,0.104,0.265,0.000,0.102,0.186,0.000,0.170
Ca,0.000,0.007,0.044,0.000,0.006,0.044,0.000,0.040
Cr,0.000,0.002,0.008,0.000,0.002,0.008,0.000,0.008
Fe,0.027,0.074,0.147,0.027,0.074,0.147,0.027,0.147
K,0.000,0.010,0.044,0.000,0.010,0.044,0.000,0.040
Li,0.000,0.121,0.221,0.000,0.125,0.199,0.000,0.187
Mg,0.000,0.011,0.072,0.000,0.011,0.072,0.000,0.032
Mn,0.000,0.007,0.028,0.000,0.007,0.028,0.000,0.028
Na,0.074,0.208,0.352,0.088,0.206,0.305,0.088,0.300
Ni,0.000,0.005,0.020,0.000,0.005,0.020,0.000,0.020
Si,0.230,0.373,0.511,0.251,0.375,0.511,0.320,0.480
Ti,0.000,0.002,0.032,0.000,0.002,0.031,0.000,0.029
U,0.000,0.001,0.011,0.000,0.001,0.011,0.000,0.011
Zr,0.000,0.008,0.033,0.000,0.008,0.024,0.000,0.024
,,,,,,,,
T L,811,1072,1366,859,1079,1366,859,1366
