Parameter,Unit,"ak , bk",ZC11,ZC11,ZC11,ZC11,ZC11
Parameter,Unit,"ak , bk",8F,7F,7F,6F,9F
Parameter,Unit,"ak , bk",1Cl,2Cl,1Cl,3Cl,1Cl
Parameter,Unit,"ak , bk",16%,13%,11%,9.8%,7.3%
<4f|r 2|4f>,A    2,0.59,0.262,0.265,0.264,0.265,0.263
<4f|r 4|4f>,A    4,2.2,0.175,0.181,0.179,0.181,0.178
<4f|r 6|4f>,A    6,4.3,0.234,0.250,0.246,0.250,0.242
,,,,,,,
Ks 12,10-6 cm2/erg,0.93,-0.693,-0.782,-0.758,-0.783,-0.741
Ks 32,10-22 cm4/erg,3.0,0.279,0.318,0.307,0.319,0.299
Ks 34,10-22 cm4/erg,3.0,0.305,0.364,0.348,0.367,0.336
Ks 54,10-38 cm6/erg,5.2,-0.177,-0.208,-0.200,-0.210,-0.192
Ks 56,10-38 cm6/erg,5.2,-0.921,-1.16,-1.09,-1.17,-1.04
Ks 76,10-54 cm8/erg,-,0.458,0.548,0.525,0.554,0.499
