G0,C,-,542,697,849,970,1086,1229,1349,1473,1619
G0,A,-,3.3,5.91,11.6,14.7,12.9,12.4,18.4,16.7,4.09
G1,C,481,520,692,851,962,1053,1251,1359,1467,-
G1,A,2.18,2.52,5.78,11.2,14.9,14.7,14.9,18.5,15.3,-
G2,C,485,509,686,845,947,1039,1245,1351,1481,-
G2,A,2.69,2.34,5.2,11.6,15.3,15.6,16.4,18.5,12.4,-
G3,C,487,508,699,846,945,1058,1247,1382,1477,-
G3,A,2.96,0.92,5.39,10.4,16.7,16.4,16.9,18.5,11.83,-
G4,C,488,507,697,852,957,1036,1223,1337,1470,-
G4,A,3.83,0.53,4.84,11.4,15.3,16.4,15.7,19.6,12.4,-
G5,C,488,507,699,835,950,1046,1227,1339,1460,-
G5,A,4.76,0.16,4.21,12.1,16.47,15.02,16.4,17.49,13.4,-
