Energy level 4I15/2-,TBZNbEr10 *,TBZNbEr10 *,TBZNbEr10 *,fexp (reported),fexp (reported),fexp (reported),fexp (reported)
Energy level 4I15/2-,l (nm),fexp,fcal,BLNEr [28],P1 [29],SLBiBEr10 [30],LBTAFEr10 [31]
4I13/2,1531+-1,2.90+-0.03,2.49+-0.13,-,0.86,2.47,1.59
4I11/2,977+-1,1.00+-0.02,0.98+-0.07,0.43,0.54,0.80,0.54
4I9/2,-,-,-,0.23,0.23,0.30,0.28
4F9/2,653+-1,3.75+-0.07,3.13+-0.31,1.54,1.44,2.69,1.88
4S3/2,545+-1,0.78+-0.02,1.01+-0.05,0.35,0.39,0.20,0.30
2H11/2,522+-1,11.19+-0.07,10.81+-0.29,4.97,8.41,9.21,8.79
4F7/2,489+-1,2.76+-0.08,3.59+-0.45,1.35,1.47,1.75,1.74
4F5/2,452+-1,0.65+-0.02,1.19+-0.06,0.36,-,-,0.32
4F3/2,443+-1,0.16+-0.02,0.65+-0.07,0.19,-,-,-
2G9/2,407+-1,1.20+-0.17,0.71+-0.05,0.91,0.54,-,-
