(n-Bu4N)2Mo2O7,(n-Bu4N)2Mo2O7,K2Mo2O7,K2Mo2O7,assignment,Na2Mo2O7,Na2Mo2O7,assignment
soln. in,crystal,KBr,melt,by Becher,crystal,crystal,by Poloznikova
MeCN,,double salt,[29],[29],this work,[62],[63]
this work,,[28],,,,,
928,928,936,927,n s MoO3,939,940,n MoO2(Oct)
,,,,,922,921,n MoO2(Oct)
879,881,869,883,n a MoO3,874,874,n MoO2(Oct)
,,,,,835,830,n MoO3(Tet)
,,,,,818,820,n Mo(Oct)-O-Mo(Oct)
,,,,,742,740,n Mo-O(Tet)
,,,,,525,526,d MoO3(Oct)
,,,,,413,411,d MoO3(Oct)
,,,,,366,369,d MoO3(Tet)
332,330,337,335,d s MoO3,341,340,d MoO4(Tet)
,,,,,295,296,d MoO3(Oct)
,,,,,229,246,d MoO2(Oct)
189,191,201,196,n s OMo2,201,199,
