Frequency region (cm-1),ok  (cm-1),a(ok ) n /a(ok )1b ratios for sample number as follows,a(ok ) n /a(ok )1b ratios for sample number as follows,a(ok ) n /a(ok )1b ratios for sample number as follows,a(ok ) n /a(ok )1b ratios for sample number as follows,a(ok ) n /a(ok )1b ratios for sample number as follows
Frequency region (cm-1),ok  (cm-1),1a,1c,1d,1e,2
1600-2600,1680,0.69,1.51,-,-,0.90
,1780,0.69,1.51,0.99,1.08,0.88
,2060,0.68,1.46,0.98,1.27,0.99
,2300,0.69,1.52,1.01,1.60,1.12
,Averages of the ratios,0.69+-0.01,1.50+-0.04,0.99+-0.02,-,-
,,,,,,
2600-3600,2920,1.44,2.59,0.89,18.37,4.70
2600-3600,3220,1.48,2.63,0.78,17.59,4.70
