,0,1,2,3,4,5,6
Q  n  (Si),Q  n  (Si),Q  n  (Si),Q  n  (Si),Q  n  (Si),Q  n  (Si),Q  n  (Si),Q  n  (Si)
1Al5ER,0.13,3.82,20.39,41.53,28.98,5.05,0.09
5Al5ER,0.11,4.11,16.41,40.19,36.06,3.08,0.04
10Al5ER,0.00,2.16,13.23,43.28,38.91,2.35,0.07
15AL5ER,0.00,0.52,9.42,38.19,47.48,4.13,0.26
20AL5ER,0.00,1.07,7.59,34.16,52.53,4.30,0.36
1Al10ER,1.24,8.44,25.79,35.86,24.51,3.82,0.34
5Al10ER,0.71,7.31,25.63,39.67,23.54,2.93,0.20
10Al10ER,0.25,4.97,25.90,40.72,26.65,1.50,0.01
15AL10ER,0.64,5.56,19.84,43.13,29.81,1.02,0.00
20AL10ER,0.27,3.18,17.74,41.60,36.66,0.56,0.00
,,,,,,,
Q  n  (Al),Q  n  (Al),Q  n  (Al),Q  n  (Al),Q  n  (Al),Q  n  (Al),Q  n  (Al),Q  n  (Al)
1Al5ER,0.00,0.00,3.85,26.92,67.88,1.35,0.00
5Al5ER,0.00,0.00,1.64,23.53,71.85,2.98,0.00
10Al5ER,0.00,0.00,4.67,21.44,70.30,3.59,0.01
15AL5ER,0.00,0.00,0.89,18.01,73.00,8.06,0.04
20AL5ER,0.00,0.05,2.87,14.60,74.20,8.15,0.13
1Al10ER,0.00,0.00,15.52,42.99,36.39,5.10,0.00
5Al10ER,0.00,1.72,12.99,26.37,53.56,4.81,0.55
10Al10ER,0.00,0.89,5.85,31.17,59.87,2.22,0.00
15AL10ER,0.00,0.62,5.49,24.16,68.56,1.17,0.00
20AL10ER,0.00,0.00,5.85,31.47,62.21,0.46,0.00
