Sample,%Na,%K,%Ca,%Mg,%Al,%Fe,%Mn,%Cl,%S,%Si,%O
US552-1 (flat glass),2.0+-0.2,0.3+-0.03,2.6+-0.3,0.5+-0.1,2.7+-0.6,0.3+-0.05,0.3+-0.06,0.4,0.1,27.1+-0.6,63.7+-1.5
US554-1 (flat glass),1.9+-0.1,0.2+-0.02,3.1+-0.3,0.3+-0.06,3.2+-0.7,0.2+-0.03,0.2+-0.04,0.1,0,26.9+-0.6,63.9+-1.5
US552-2 (flat glass),3.3+-0.3,0.5+-0.05,2.6+-0.3,0.7+-0.1,2.7+-0.6,0.7+-0.1,0.4+-0.05,0.5,0.2,25.7+-0.6,62.7+-1.5
US554-2 (flat glass),2.0+-0.2,0.3+-0.03,2.3+-0.2,0.7+-0.1,2.7+-0.6,0.7+-0.1,0.3+-0.06,0.3,0,27.0+-0.6,63.7+-1.5
US554-4 (flat glass),2.8+-0.2,0.5+-0.05,3.9+-0.4,0.7+-0.1,2.0+-0.4,0.8+-0.1,0.4+-0.05,0.7,0.1,25.5+-0.6,62.6+-1.5
US555-1 (flat glass),2.0+-0.2,0.2+-0.02,2.3+-0.2,0.4+-0.1,2.7+-0.6,0.3+-0.05,0.3+-0.06,0.2,0,27.6+-0.7,64.0+-1.5
US552-36 (decorated chalice),6.8+-0.5,0.3+-0.03,2.7+-0.3,0.6+-0.1,2.0+-0.4,0.3+-0.05,0.2+-0.04,0.3,0,25.5+-0.6,61.3+-1.4
US552-5 (decorated chalice),5.2+-0.4,0.6+-0.06,1.5+-0.2,0.2+-0.04,4.5+-0.9,0.3+-0.05,0.03+-0.007,0.07,0,25.0+-0.6,62.6+-1.5
US554-19 (decorated chalice),0.5+-0.1,0.8+-0.08,1.5+-0.2,0.4+-0.08,3.9+-0.9,0.3+-0.05,0.07+-0.01,0.3,0.03,27.7+-0.7,64.5+-1.5
US552-6 (undecorated chalice),6.1+-0.5,0.4+-0.04,2.6+-0.3,0.7+-0.1,1.4+-0.3,0.2+-0.03,0.2+-0.04,0.6,0,26.1+-0.6,61.7+-1.5
US552-7 (undecorated chalice),2.7+-0.2,0.3+-0.03,2.5+-0.3,0.6+-0.1,2.7+-0.6,0.3+-0.05,0.1+-0.02,0.3,0,27.2+-0.6,63.3+-1.5
