Crystal phase,Crystal system,Space group,"a, b, c (A) and b (deg)",Ref.
Stable lithium disilicate (Li2Si2O5),monoclinic (pseudo-orthorhombic),Cc,"5.82, 14.66, 4.79 and 90",[29]
,or orthorhombic,Ccc2,"5.80, 14.66, 4.806",JCPDS [17-447]
Lithium disilicate (Li2Si2O5),orthorhombic,-,"5.91, 14.05, 4.812",JCPDS [24-651]
Lithium disilicate (Li2Si2O5),orthorhombic,Pbcn,"5.683, 4.784, 14.648",[33]
a-lithium disilicate (Li2Si2O5),monoclinic,Cc,"5.822, 14.60, 4.775 and 90",JCPDS [40-0376]
Lithium metasilicate (Li2SiO3),orthorhombic,Cmc21,"5.3975, 9.3974, 4.6615",JCPDS [29-828]
Lithium orthosilicate (Li4SiO4),monoclinic,-,"5.295, 6.099, 5.149 and 90.323",JCPDS [20-637]
Lithium orthosilicate (Li4SiO4),pseudo-orthorhombic,-,"5.30, 6.32, 5.45",JCPDS [24-650]
Lithium disilicate (transient),orthorhombic,-,"5.63, 8.86, 8.94",[14]
Lithium trisilicate (Li2Si3O7),orthorhombic,Pbcm,"6, 19.69, 4.86",JCPDS [23-1203]
Lithium silicate (Li6Si2O7),tetragonal,P421m,"7.715, 4.88",JCPDS [30-767]
