,,T g (K),T   g   '     (K),T c (K),T m (K),K H (-)
Eutectic series,CAS1,1062,1070,n/a,1443,
Eutectic series,CAS2,1054,1062,n/a,1543,
Eutectic series,CAS3,1051,1063,1344,1554,1.40
Eutectic series,CAS4,1054,1064,1336,1562,1.25
Eutectic series,CAS5,1062,1068,1341,1538,1.42
Non-eutectic series,CAS6,1094,1106,1379,1646,1.06
Non-eutectic series,CAS7,1086,1091,1330,1666,0.72
Non-eutectic series,CAS8,1072,1080,1320,1682,0.68
Non-eutectic series,CAS9,1087,1096,1332,1693,0.68
Non-eutectic series,CAS10,1078,1093,1347,1702,0.76
