Structure,Bond angles (deg),Bond angles (deg),Bond distances P-O (A),DE HF (kcal mol) c,DE angle (kcal mol) d
Structure,P-O-P,O-P-O,Bond distances P-O (A),DE HF (kcal mol) c,DE angle (kcal mol) d
2-Ring,2-Ring,2-Ring,2-Ring,2-Ring,2-Ring
Cis,94.7,85.3,1.622,-,46.9
Trans,94.8,85.2,1.625,0.54,46.6
,,,,,
3-Ring,3-Ring,3-Ring,3-Ring,3-Ring,3-Ring
Partial cone,140.0,99.6,1.590,-,~0
,122.0,107.3,1.600,3.6,
,,,1.620,,
Cone,129.8,99.0,1.607,11.4,0.7
,,,,,
4-Ring,4-Ring,4-Ring,4-Ring,4-Ring,4-Ring
"1, 3 alternate",132.1,100.0,1.577,-,0.3
,133.8,100.5,1.582,,0.1
,134.9,102.1,1.584,,~0
,138.6,102.9,1.585,,~0
,,,1.589,,
,,,1.594,,
,,,1.621,,
,,,1.625,,
Partial cone,131.9,100.0,1.584,1.6,0.3
,133.3,100.7,1.585,,0.1
,136.4,102.1,1.586,,~0
,136.8,102.4,1.588,,~0
,,,1.598,,
,,,1.600,,
,,,1.604,,
,,,1.616,,
Cone,134.5,100.4,1.590 (4x),7.6,0.2
,137.6 (2x),100.4,1.588 (2x),,~0
,141.3,101.8,1.592 (2x),,~0
,,101.8,,,
"1, 2 alternate",140.0 (2x),100.6 (4x),1.569 (4x),10.0,~0
,167.8 (2x),,1.586 (4x),,3.4
