Sample no.,E/G,n -  c,F -   (N/m),l (nm),Kbc  (GPa),nb  x1022 (cm-3),Kbc /Kexp
S0,2.384,2.615,431.5,0.5453,152.02,14.68,3.226
S1--TiO2,2.421,2.667,429.2,0.5513,176.22,12.37,3.483
S2--TiO2,2.421,2.657,426.8,0.5581,171.22,12.36,3.788
S3--TiO2,2.483,2.647,424.5,0.5694,166.34,12.33,4.238
S4--TiO2,2.516,2.636,422.3,0.5716,161.45,12.29,4.451
S5--TiO2,2.530,2.626,420.1,0.5754,156.50,12.27,4.723
S1--BaO,2.385,2.595,430.7,0.5465,151.21,14.39,3.242
S2--BaO,2.398,2.576,429.8,0.5478,151.25,13.99,3.278
S3--BaO,2.403,2.556,429.0,0.5491,150.84,13.59,3.308
S4--BaO,2.411,2.537,428.2,0.5500,150.27,13.19,3.322
S5--BaO,2.393,2.519,427.3,0.5550,150.12,12.79,3.444
S1--Bi2O3,2.411,2.583,425.0,0.5449,156.52,13.88,3.266
S2--Bi2O3,2.440,2.552,426.3,0.5421,160.64,13.67,3.248
S3--Bi2O3,2.444,2.522,427.6,0.5372,165.93,13.57,3.249
S4--Bi2O3,2.458,2.493,428.9,0.5323,167.03,13.14,3.253
S5--Bi2O3,2.462,2.464,430.2,0.5312,169.64,12.80,3.240
