Transitions,TLEA-0(+-0.001),TLEA-0(+-0.001),TLEA-1(+-0.001),TLEA-1(+-0.001),TLEA-6(+-0.001),TLEA-6(+-0.001),TLEA-16(+-0.001),TLEA-16(+-0.001),TLEA-24(+-0.001),TLEA-24(+-0.001)
Transitions,f exp,f cal,f exp,f cal,f exp,f cal,f exp,f cal,f exp,f cal
4I15/2 - 4I13/2,4.837,6.086,7.011,8.309,5.681,6.849,5.424,6.703,5.165,6.798
4I15/2 - 4I11/2,1.618,2.784,2.432,3.666,1.900,3.118,1.814,3.050,1.729,3.093
4I15/2 - 4I9/2,0.687,0.963,1.308,1.703,0.8071,1.165,0.771,1.141,0.734,1.155
4I15/2 - 4F9/2,5.929,7.582,9.422,11.752,6.964,8.820,6.649,8.627,6.332,8.749
4I15/2 - 4S3/2,0.033,2.272,0.0956,3.052,0.038,2.546,0.037,2.416,0.0349,2.517
4I15/2 - 2H11/2,15.170,21.200,19.721,25.938,17.817,23.980,17.011,23.455,16.199,23.786
4I15/2 - 4F7/2,3.610,8.910,5.620,12.573,4.240,10.103,4.048,9.882,3.855,10.022
rms (x10-6),,,,,,,,,,
