Glass,FWHM (nm),leff (nm),sp x10-21 (cm2),FWHMxsp (nm.cm2),tmeas (ms),tmeas xsp (ms.cm2)
TBZNbEr,TBZNbEr,TBZNbEr,TBZNbEr,TBZNbEr,TBZNbEr,TBZNbEr
0.1,64+-1,73+-1,9.95+-0.42,637+-21,3.81+-0.05,37.90+-1.34
0.3,74+-1,77+-1,9.38+-0.36,694+-41,5.45+-0.05,51.40+-1.57
0.5,74+-1,77+-1,9.72+-0.29,719+-22,6.36+-0.05,61.82+-1.64
0.7,82+-1,85+-1,8.45+-0.25,693+-16,6.43+-0.05,54.33+-1.39
1.0,96+-1,87+-1,6.81+-0.36,653+-59,3.84+-0.05,26.15+-1.33
,,,,,,
Reported,Reported,Reported,Reported,Reported,Reported,Reported
NKZLS [40],93,-,7.46,693,2.12,15.81
SBS1 [41],90,-,6.30,567,-,-
Silicate [33],40,-,5.5,220,5.00,27.50
Phosphate [43],37,-,6.4,236,-,-
Bismuth [44],79,-,7.0,553,-,-
Tellurite [45],76,-,8.50,646,7.5,63.75
SLBiB [30],103,-,8.88,914,-,-
