T (K),r (A-3),k T (10-10 Pa-1),r 1 (A),r 2 (A),n -  Zn Cl,e Cl,Method
298(1),0.0359(1),-,2.28(2),3.70(2),4.00(8),0.647,ND
,,-,2.27(2),3.71(2),4.04(5),,XRD
601(1),0.0334(1),4.00(4),2.27(2),3.73(2),3.93(5),0.594,XRD
603(1),0.0334,-,2.28(1),3.79(2),3.93(6),,ND
605(5),0.0334(1),4.03(4),2.27(2),3.72(2),4.12(5),,ND
613(1),0.0333(1),4.15(4),2.27(2),3.72(2),3.94(5),,XRD
703(1),0.0327(1),4.75(5),2.27(2),3.76(3),3.90(5),0.581,XRD
708(2),0.0326(1),4.77(5),2.28(2),3.71(2),4.01(5),,ND
803(1),0.0320(1),5.25(5),2.27(2),3.83(5),3.87(5),0.569,XRD
808(2),0.0320(1),5.28(5),2.27(2),3.72(2),4.01(5),,ND
873(1),0.0318,-,2.29(1),3.86(5),3.67(7),,ND
903(1),0.0315(1),5.83(6),2.27(2),3.75(3),3.85(5),0.560,XRD
906(2),0.0314(1),5.85(6),2.28(2),3.70(2),3.96(10),,ND
977(2),0.0311(1),6.37(6),2.27(2),3.66(2),3.91(6),0.553,ND
