"Glass code G(X,Q,Z)",Density (gcm-3),Molar volume (cm3 mol-1),Microhardness (GPa),T gmid   (degC),CTE (10-6 K-1),CLD
"G(2.0, 0.0, 0.00)",2.91,7.66,6.59,679,6.00,1.14
"G(2.0, 0.0, 0.25)",2.84,7.72,6.53,671,5.98,1.14
"G(2.0, 0.0, 0.50)",2.76,7.81,6.39,665,6.24,1.14
"G(2.0, 0.0, 0.75)",2.71,7.82,6.38,660,6.54,1.14
"G(2.0, 0.0, 1.00)",2.64,7.89,6.11,653,6.65,1.14
,,,,,,
"G(2.5, 0.0, 0.00)",2.90,7.68,6.54,653,6.31,1.07
"G(2.5, 0.0, 0.25)",2.84,7.72,6.43,650,6.34,1.07
"G(2.5, 0.0, 0.50)",2.77,7.78,6.28,645,6.48,1.07
"G(2.5, 0.0, 0.75)",2.69,7.88,6.19,642,6.56,1.07
"G(2.5, 0.0, 1.00)",2.63,7.93,6.14,635,7.00,1.07
,,,,,,
"G(3.0, 0.0, 0.00)",2.90,7.68,6.44,638,6.25,1
"G(3.0, 0.0, 0.25)",2.83,7.75,6.30,638,6.45,1
"G(3.0, 0.0, 0.50)",2.77,7.78,6.20,639,6.50,1
"G(3.0, 0.0, 0.75)",2.69,7.88,6.13,636,6.60,1
"G(3.0, 0.0, 1.00)",2.63,7.93,5.95,620,7.12,1
