Glass,29Si NMR,29Si NMR,31P NMR,31P NMR
Glass,Peak position (ppm),Linewidth (ppm),Peak position (ppm),Linewidth (ppm)
ICIE1,-79.6,11.2,9.5,7.8
ICIE2,-80.2,11.6,7.3,7.8
ICIE3,-81.2,12.7,5.3,7.7
ICIE4,-81.4,13.3,3.7,7.7
ICIE5,-81.7,13.8,2.9,8.0
,,,,
ICIE6,-80.4,12.7,5.4,7.6
ICIE3,-81.3,12.7,5.6,7.6
ICIE7,-80.9,12.6,5.5,7.5
ICIE8,-84.4,15.4,5.5,8.1
ICIE9,-88.9,15.8,5.5,8.9
,,,,
ICIE10,-81.0,13.6,4.9,7.5
ICIE11,-81.6,12.6,4.8,7.5
ICIE12,-84.0,15.1,4.5,7.9
ICIE13,-84.9,14.4,4.7,8.1
ICIE14,-89.9,16.1,4.6,9.4
,,,,
ICIE15,-81.1,12.6,5.4,7.4
ICIE16,-81.5,11.4,5.6,7.2
ICIE17,-83.5,15.6,5.0,8.0
ICIE18,-84.6,16.3,5.0,6.0
ICIE19,-89.4,16.2,5.1,8.6
