Glass (mass%),Al2O3,B2O3,CaO,Fe2O3,K2O,Li2O,MgO,Na2O,NiO,P2O5,SiO2,ZrO2,BaO,Bi2O3,CdO,Cr2O3,Cs2O,F,La2O3,MnO,Nd2O3,PbO,SO3,SrO,TiO2,ZnO
HLW-E-ANa-13(3Al-3Si),24.34,14.37,5.72,2.82,0.66,3.08,0.22,12.71,0.10,2.02,31.06,0.12,0.03,1.16,0.01,0.71,0.00,0.23,0.00,0.00,0.00,0.09,0.22,0.00,0.17,0.18
HLW-E-ANa-24,22.70,18.39,0.77,3.00,0.71,3.08,0.23,13.52,0.11,2.15,32.26,0.13,0.03,1.23,0.01,0.76,0.00,0.24,0.00,0.00,0.00,0.10,0.23,0.00,0.19,0.19
HLW-E-ANa-25,22.70,19.39,0.77,3.00,0.71,3.08,0.23,13.52,0.11,2.15,31.26,0.13,0.03,1.23,0.01,0.76,0.00,0.24,0.00,0.00,0.00,0.10,0.23,0.00,0.19,0.19
HLW-E-ANa-26,23.61,19.41,0.80,3.11,0.73,3.08,0.24,14.06,0.11,2.24,29.39,0.14,0.03,1.28,0.01,0.79,0.00,0.25,0.00,0.00,0.00,0.10,0.24,0.00,0.19,0.20
HLW-E-ANa-04,21.34,14.37,0.72,2.82,0.66,4.08,0.22,12.71,0.10,2.02,38.06,0.12,0.03,1.16,0.01,0.71,0.00,0.23,0.00,0.00,0.00,0.09,0.22,0.00,0.17,0.18
IWL-HAC5-1,22.16,20.00,0.73,2.74,0.28,0.00,0.09,20.14,0.61,2.13,24.07,2.49,0.00,0.88,0.01,1.07,0.22,0.67,0.10,0.56,0.02,0.12,0.58,0.35,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,
Glass (mol%),SiO2,Al2O3,B2O3,M2O,MO,Fe2O3,P2O5,F,Others,,,,,,,,,,,,,,,,,
HLW-E-ANa-13(3Al-3Si),35.8,16.5,14.3,21.8,7.4,1.2,1.0,0.8,1.2,,,,,,,,,,,,,,,,,
HLW-E-ANa-24,37.4,15.5,18.4,22.9,1.4,1.3,1.1,0.9,1.3,,,,,,,,,,,,,,,,,
HLW-E-ANa-25,36.3,15.5,19.4,22.9,1.4,1.3,1.1,0.9,1.3,,,,,,,,,,,,,,,,,
HLW-E-ANa-26,34.3,16.3,19.6,23.7,1.4,1.4,1.1,0.9,1.3,,,,,,,,,,,,,,,,,
HLW-E-ANa-04,42.9,14.2,14.0,23.6,1.3,1.2,1.0,0.8,1.2,,,,,,,,,,,,,,,,,
IWL-HAC5-1,29.2,15.8,20.9,23.9,1.4,1.2,1.1,2.6,3.9,,,,,,,,,,,,,,,,,
