Energy level,C  A2q,C  A4q,C  A6q
4 I 15/2,0.69,0.53,0.40
4 I 13/2,0.80,0.49,0.19
4 I 11/2,0.88,0.36,0.11
4 I 9/2,0.18,0.63,0.68
4 F 9/2,0.87,0.40,0.11
4 S 3/2,1.00,0.08,0.00
2 H 11/2,0.33,0.86,0.37
4 F 7/2,0.98,0.14,0.16
4 F 5/2,0.92,0.27,0.00
4 F 3/2,0.98,0.03,0.00
2 G 9/2,0.46,0.57,0.57
4 G 11/2,0.21,0.97,0.16
"4 G 9/2,2 K 15/2,2 G 7/2",-,-,-
2 P 3/2,0.99,0.01,0.01
"2 K 13/2,4 G 5/2,2 P 1/2",-,-,-
4 G 7/2,0.96,0.36,0.13
2 D 5/2,0.92,0.34,0.00
2 H 9/2,0.89,0.19,0.36
4 D 5/2,0.54,0.65,0.00
4 D 7/2,1.00,0.15,0.02
