Structure parameter,,Calculation,Experiment [2],Rel. deviation [%]
Cell constant,a (pm),1095.8,1052.0,+4.16
,c (pm),1087.0,1109.5,-2.18
,,,,
Bond length,r Si-O (pm),162.6; 163.2,161.6; 162.0,
,,162.8; 162.9,161.0; 161.5,+0.68
,r Al-O (pm),176.4; 176.6,172.0; 174.6,
,,177.9; 177.2,173.2; 173.5,+2.18
,r Li-O (pm),216.3; 218.2,199.7; 204.6,
,,212.5; 214.1,201.0; 202.1,+6.63
,,,,
Bond angle,(Si-O-Al),149.0; 149.6,146.1; 146.1,
,,151.7; 150.4,151.4; 149.3,+1.33
,(Si-O-Li),119.7; 90.6,124.6; 92.2,
,,94.2; 91.3,91.3; 92.0,-2.40
