Raman,Raman,IRo TO,IRo LO,IRo TO,IRo LO
25 degC,260 degC,25 degC,25 degC,260 degC,260 degC
97,101,98,100,101,105
111,-,113,114,-,-
124,125,122,123,123,123
-,-,134,134,130,133
144,-,144,146,146,148
179,180,179,193,179,187
186,186,186,197,185,189
200,200,207,208,206,-
224,224,224,239,224,-
248,246,252,256,252,254
290,289,280,280,280,280
311,300,313,316,314,315
342,342,343,345,-,-
367,360,370,375,365,366
400,400,405,407,405,405
440,440,446,455,446,448
468,467,-,-,-,-
485,485,487,495,490,494
-,-,534,543,538,538
560,559,561,561,579,580
606,600,612,612,612,612
664,646,644,644,643,644
-,-,697,698,-,-
737,740,740,742,744,746
858,-,822,822,827,829
-,-,833,835,-,-
904,906,880,896,893,901
952,940,938,962,953,959
1019,1017,1025,1072,1028,1072
-,-,1350,1370,1350,1370
