HNO3 pH,HF (mol/l),t gel (min),S p (m2/g),V p (cm3/g),r p (nm),r v (g/cm3)
0.5,0,2880+-60,727+-22,0.42+-0.02,1.2+-0.1,1.62+-0.04
1.0,0,3600+-60,949+-28,0.58+-0.03,1.2+-0.1,1.46+-0.03
1.5,0,3880+-60,789+-24,0.44+-0.02,1.1+-0.1,1.47+-0.05
1.5,0.031,140+-7,360+-10,1.21+-0.05,6.8+-0.3,0.65+-0.01
1.5,0.045,49+-2.5,305+-9,1.23+-0.06,8.1+-0.3,0.54+-0.01
1.5,0.055,33+-1.7,344+-10,1.49+-0.07,8.7+-0.3,0.54+-0.03
1.5,0.090,6+-0.3,268+-8,1.61+-0.08,12.0+-0.5,0.55+-0.01
1.5,0.180,2+-0.1,148+-4,1.60+-0.08,22+-0.9,0.51+-0.01
2.5,0,4300+-60,873+-26,0.53+-0.03,1.2+-0.1,1.38+-0.05
3.0,0,3800+-60,1029+-31,0.66+-0.03,1.3+-0.1,1.15+-0.03
