Glass code,SiO2,Na2O,CaO,MgO,Al2O3,Fe2O3,ZnO,SO3,S[RO]/[SiO2],[MgO]/S[RO]
M0C10S75,74.87,13.28,10.33,0.00,1.49,0.03,0.00,0.00,0.138,0.000
M1C10S74,74.07,13.51,9.89,1.00,1.52,0.03,0.00,0.00,0.147,0.092
M2C10S73,73.01,13.31,10.29,1.88,1.48,0.04,0.00,0.00,0.167,0.155
M3C10S72,72.20,12.88,10.40,2.98,1.52,0.03,0.00,0.00,0.185,0.223
M4C10S71,70.67,13.43,10.39,3.82,1.52,0.03,0.00,0.15,0.201,0.269
M5C10S70,69.65,13.76,10.23,4.82,1.51,0.04,0.00,0.00,0.216,0.320
M6C10S69,68.93,13.34,10.33,5.80,1.54,0.03,0.02,0.00,0.234,0.360
M7C10S68,68.04,13.29,10.39,6.76,1.45,0.04,0.01,0.00,0.252,0.394
M3C7S75,75.54,12.80,7.24,2.89,1.45,0.03,0.00,0.00,0.134,0.285
M3C8S74,73.82,13.58,8.25,2.83,1.49,0.01,0.00,0.00,0.150,0.256
M3C9S73,73.11,13.09,9.31,2.88,1.54,0.03,0.03,0.00,0.167,0.236
M3C10S72,72.20,12.88,10.40,2.98,1.52,0.03,0.00,0.00,0.185,0.223
M3C11S71,71.00,13.06,11.43,2.96,1.51,0.03,0.00,0.00,0.203,0.206
M3C12S70,70.16,13.15,12.27,2.87,1.49,0.03,0.00,0.00,0.216,0.190
M3C13S69,68.99,13.24,13.34,2.87,1.52,0.03,0.00,0.00,0.235,0.177
M3C14S68,68.05,13.23,14.34,2.87,1.48,0.05,0.00,0.00,0.253,0.167
M1C12S72,72.08,13.50,12.13,1.00,1.26,0.03,0.00,0.00,0.182,0.076
M3C10S72,72.20,12.88,10.40,2.98,1.52,0.03,0.00,0.00,0.185,0.223
M5C8S72,72.75,13.07,8.20,4.76,1.18,0.04,0.00,0.00,0.178,0.367
M7C6S72,73.04,12.91,6.19,6.66,1.17,0.03,0.00,0.00,0.176,0.518
M9C4S72,72.60,13.13,4.12,8.89,1.22,0.04,0.00,0.00,0.179,0.683
M11C2S72,72.12,13.53,2.03,11.01,1.26,0.03,0.01,0.00,0.181,0.844
