Glass,Glass,SiO2,B2O3,CaO,MgO,P2O5,Na2O,CaF2
1,wt%,41.39,5.33,30.05,9.25,3.26,4.74,5.98
,mol%,40.36,4.48,31.40,13.45,1.35,4.48,4.48
,mol ratio,9,1,7,3,0.30,1,1
,,,,,,,,
1a,wt%,40.73,5.24,29.57,9.10,4.81,4.67,5.88
,mol%,40.10,4.45,31.18,13.37,2.00,4.45,4.45
,mol ratio,9,1,7,3,0.45,1,1
,,,,,,,,
1b,wt%,40.08,5.16,29.10,8.96,6.32,4.59,5.79
,mol%,39.82,4.43,30.97,13.27,2.65,4.43,4.43
,mol ratio,9,1,7,3,0.60,1,1
,,,,,,,,
2,wt%,42.23,4.89,31.54,8.50,2.99,4.36,5.49
,mol%,41.15,4.12,32.92,12.34,1.23,4.12,4.12
,mol ratio,10,1,8,3,0.30,1,1
,,,,,,,,
3,wt%,42.95,4.52,32.80,7.86,2.77,4.03,5.07
,mol%,41.82,3.80,34.22,11.41,1.15,3.80,3.80
,mol ratio,11,1,9,3,0.30,1,1
