,T Dil,T DTA,T DC,T 12,e(T Dil),e(T DTA),e(T DC)
NS4,751,758,,753,12.07,11.76,
Ca 0.39,1123,1125,,1119,,11.62,
Ca 42.14,1072,1073,1085,1065,11.64,11.57,10.98
Ca 76.11,1163,1164,1199,1155,,11.70,10.66
Ca 50.25,1141,1138,1160,1130,,11.62,10.67
Ca 12.44,1146,1147,,1137,,11.38,
Di,999,1005,1005,994,11.72,11.38,11.38
Ab,1095,1097,1096,1085,11.76,11.71,11.74
NTS4,881,885,904,873,11.48,11.24,10.22
KTS2,865,873,,865,12.03,11.42,
NC,818,828,850,821,12.14,11.67,10.74
BNC,817,829,850,820,12.15,11.54,10.58
E,952,955,996,945,11.75,11.60,10.10
Mean,,,,,11.86,11.58,10.78
Std dev,,,,,0.24,0.11,0.52
