Compound,Glass sample,Glass sample,Glass sample,Glass sample,Glass sample,Glass sample,Glass sample,Glass sample
Compound,A,A,ANa,ANa,ACs,ACs,ANaV,ANaV
,Nominal (wt%),XRF-EDS   (wt%),Nominal (wt%),XRF-EDS   (wt%),Nominal (wt%),XRF-EDS   (wt%),Nominal (wt%),XRF-EDS   (wt%)
SiO2,50,51+-0.5,47.5,48+-0.5,43.63,44+-1,45,44.8+-0.5
B2O3,16,16+-0.5,15.2,15+-0.5,13.96,-,14.4,14+-0.5
Na2O,16,14+-0.5,15.2,14.7+-0.5,13.96,14+-2,14.4,14.6+-0.5
Al2O3,7,7.4+-0.5,6.65,6.5+-0.5,6.11,6+-0.5,6.3,6.5+-0.5
CaO,5,5.4+-0.4,4.75,5+-0.4,4.36,4+-0.4,4.5,4.8+-0.4
Fe2O3,6,6.5+-0.4,5.7,5.2+-0.4,5.24,5.2+-0.4,5.4,5.2+-0.4
,,,,,,,,
Added compounds,Added compounds,Added compounds,Added compounds,Added compounds,Added compounds,Added compounds,Added compounds,Added compounds
Na2SO4,-,,5,0.7+-0.1 (SO3),-,,5,0.9+-0.1 (SO3)
Cs2SO4,-,,-,,12.74,0.55+-0.1 (SO3),-,
V2O5,-,,-,,-,,5,4.9+-0.2
,,,,,,,,
Structural parameters,Structural parameters,Structural parameters,Structural parameters,Structural parameters,Structural parameters,Structural parameters,Structural parameters,Structural parameters
R,1.12+-0.05,1.12+-0.05,1.298+-0.05,1.298+-0.05,1.298+-0.1,1.298+-0.1,1.123+-0.05,1.123+-0.05
K,3.62+-0.05,3.62+-0.05,3.62+-0.05,3.62+-0.05,3.62+-0.1,3.62+-0.1,3.62+-0.05,3.62+-0.05
R * =3K/16,0.726+-0.01,0.726+-0.01,0.726+-0.01,0.726+-0.01,0.726+-0.02,0.726+-0.02,0.726+-0.01,0.726+-0.01
r,2.56+-0.001,2.56+-0.001,2.56+-0.001,2.56+-0.001,2.62+-0.001,2.62+-0.001,2.56+-0.001,2.56+-0.001
