Center,Matrix,g  z,g  x,g  y,Ref.
HC1 (Si-OHC),alkali-silicate,2.0213,2.0023,2.0088,[13]
HC2 (Si-OHC),glasses,2.0158,2.0118,2.0127,[13]
SHC1 (Si-OHC),CaO-Al2O3-SiO2,2.0173,2.0026,2.0109,[21]
Al-OHC,glasses,2.0186,2.0025,2.010,[21]
O-,KBr,1.987,2.226,2.226,[22]
O-,NaOH*H2O,2.002,2.007,2.007,[23]
O2 -,MgO (surface),2.062,2.0018,2.0089,[23]
O2 -,ZnO (surface),2.042,2.0030,2.007,[23]
O2 -,MoO3 (surface),2.016,2.0042,2.0098,[23]
O2 -,Al2O3 (surface),2.039,2.0040,2.009,[23]
O2 -,silica-gel,2.025,2.0031,2.0095,[23]
O2 -,SiO2/Al2O3,2.024,2.0022,2.0068,[23]
O2 -,CaX-zeolite,2.057,2.000,2.007,[22]
O2 -,Ca5(PO4)3OH,2.058,2.003,2.003,[24]
O3 - (ozonid),KClO3,2.011,2.0026,2.018,[23]
O3 - (ozonid),Sr(ClO3)2,2.0095,2.0020,2.016,[23]
`So called' O3 -,SiO2,2.0080,2.0030,2.0045,[23]
`So called' O3 -,TiO2,2.0070,2.0010,2.0010,[23]
CO+,CO:zeolite,2.0045,2.0005,2.0005,[25]
CO-,CO:MgO(surface),2.0021,2.0055,2.0055,[26]
CO2 -,KO2(CH2)COH,2.0047,1.9957,2.0021,[27]
CO2 -,CaCO3,2.0032,1.9978,2.0017,[28]
CO2 -,O-+CO/MgO,2.0043,1.9977,2.0022,[29]
