Sample,BO,BO,BO,NBO,NBO,NBO
Sample,BE,FWHM,I,BE,FWHM,I
F0Si30,530.7,1.6,18,529.2,1.4,82
F10Si30,530.6,1.3,18,529.2,1.4,82
F15Si30,530.7,1.4,18,529.3,1.4,82
F20Si30,530.6,1.4,18,529.2,1.4,82
F30Si30,530.7,1.5,25,529.3,1.4,75
F0Si50,531.3,1.5,38,529.8,1.6,62
F5Si50,531.2,1.4,42,529.6,1.5,58
F10Si50,531.2,1.4,44,529.7,1.4,56
F15Si50,531.2,1.4,47,529.7,1.4,53
F20Si50,531.4,1.4,46,529.8,1.4,54
F0Si60,531.5,1.6,55,529.9,1.5,45
F5Si60,531.5,1.5,53,529.8,2.2,47
F10Si60,531.6,1.5,61,529.9,1.4,39
F20Si60,531.7,1.5,61,530.0,1.5,39
F30Si60,531.3,1.7,61,529.3,1.6,39
