,,,,"u.c. parameters, A","u.c. parameters, A","u.c. parameters, A","u.c. parameters, A"
Crystal system/space group,Mineral/sample,ICSD code,Chemical formula,a,b,c,b
Best matched data,Best matched data,Best matched data,Best matched data,Best matched data,Best matched data,Best matched data,Best matched data
Tetragonal/P-4 21m,Gehlenite,160332,Al2Ca2SiO7,7.735,7.735,5.089,90.000
Monoclinic/C2/c,Diopside(Fe-bearing),83821,Al0.6Ca0.96Fe0.51 Mg0.44Si1.4O6.12,9.786,8.860,5.338,105.870
Monoclinic/C2/c,Augite,85167,"(Mg, Fe, Al, Ti)(Ca, Mg, Fe, Na)(Si, Al)2O6",9.735,8.864,5.291,106.270
,,,,,,,
Experimental data,Experimental data,Experimental data,Experimental data,Experimental data,Experimental data,Experimental data,Experimental data
Tetragonal/P-4 21m,Mair,,,7.730,7.730,5.046,90.000
Monoclinic/C2/c,Pair,,,9.792,8.857,5.354,106.10
Tetragonal/P-4 21m,MAr,,,7.747,7.747,5.036,90.000
Monoclinic/C2/c,PAr,,,9.748,8.867,5.311,106.07
