Leaching test,Duration,pH,[Si] (ppm),[NH4 +] (ppm),[Al] (ppm),[La] (ppb),[Y] (ppb)
LaO1,6 d,-,0.5,-,0.08,180,-
,1 month,-,1.7,-,0.13,380,-
,3 month,7.4,7.2,,0.61,230,-
LaN1,6 d,-,1.1,0.3,0.10,160,-
,1 month,-,7.9,1.3,1.23,<1,-
,3 month,8.2,29.7,3.7,-,<2,-
YLaO2,6 d,-,0.4,-,0.12,<1,<1
,1 month,6.9,1.0,-,0.19,2,1
YLaO3,3 month,6.8,1.4,-,0.01,10,12
YLaN2,6 d,-,0.6,-,-,2,1
,1 month,6.6,1.2,0.2,0.06,2,3
YLaN3,1 month,,1.1,0.2,0.08,140,52
,3 month,7.5,1.4,0.2,0.04,188,10
YLaN4,6 month,6.2,2.5,0.3,<0.01,570,120
