Glass,r/gcm-3,r(M+)/cm-3,Tg/degC,sspec/Scm-1,D/cm2 s-1
Ca20Na,2.66,1.16E+22,340,5.95E-10,1.03E-14
Ca30Na,2.62,8.19E+21,378,2.57E-11,6.30E-16
Ca40Na,2.67,5.05E+21,426,5.57E-14,2.21E-18
Ca20K,2.50,9.74E+21,338,1.19E-10,2.44E-15
Ca30K,2.54,7.35E+21,401,1.50E-12,4.11E-17
Ca40K,2.60,4.68E+21,457,3.43E-16,1.47E-20
Ca20Rb,3.07,9.22E+21,318,1.75E-10,3.80E-15
Ca30Rb,2.91,6.89E+21,418,3.92E-13,1.14E-17
Ca40Rb,2.78,4.39E+21,455,1.21E-16,5.55E-21
Ca20Cs,-,-,322,8.33E-10,-
Ca30Cs,3.22,6.42E+21,422,7.10E-13,2.22E-17
Ca40Cs,3.05,4.28E+21,495,6.24E-17,2.92E-21
