Glass composition,ef   *  4000 (%),E 0 (GPa),E 1 (GPa),E 2 from Eq. (5),E 2 from Eq. (5),E 2 from literature,E 2 from literature
Glass composition,ef   *  4000 (%),E 0 (GPa),E 1 (GPa),E 2 (GPa),sf  (GPa),E 2 (GPa),sf  (GPa)
Silica (air),7.9+-0.1,72 [32],772.4 [32],"-12,498",7.0+-0.1,"-11,084   [32]",7.2+-0.1
Silica (LN),17.2+-0.3,72   [32],772.4   [32],"-12,498",12.1+-0.2,"-11,084   [32]",14.4+-0.3
Silica (air),7.9+-0.1,72.4 [27],906 [27],"-15,429",7.3+-0.1,,
Silica (LN),17.2+-0.3,72.4   [27],906   [27],"-15,429",12.8+-0.2,,
Silica (air),7.9+-0.1,72 [32],1074 [29],"-17,383",7.6+-0.1,,
Silica (LN),17.2+-0.3,72   [32],1074   [29],"-17,383",13.6+-0.2,,
E-glass (air),5.6+-0.1,74 [25],-73.2 [25],-7759,3.8+-0.1,"-11,054 [25]",3.7+-0.1
E-glass (LN),10.7+-0.2,74   [25],-73.2   [25],-7759,5.1+-0.1,"-11,054   [25]",5.2+-0.1
