,OP-3,OP-9,OP-13,OP-14,OP-16,OP-19,OP-20,OP-21
SiO2,92.01,86.80,88.70,90.86,90.86,89.89,89.55,91.33
Al2O3,0.09,0.36,0.11,0.09,0.01,0.07,0.04,0.09
Fe2O3T,1.39,0.29,0.13,0.22,0.52,0.94,0.10,0.40
MnO,-,0.04,0.02,0.02,0.02,-,0.02,-
MgO,0.19,0.01,-,0.01,-,0.12,-,0.03
CaO,-,0.01,0.01,0.01,0.04,0.03,0.01,-
Na2O,0.03,0.06,0.06,0.06,0.04,0.05,0.04,0.07
K2O,0.29,0.07,0.05,0.03,0.02,0.20,0.02,0.06
TiO2,0.02,-,0.01,0.01,-,0.04,0.04,-
NiO,-,-,0.01,-,-,-,-,0.03
Cr2O3,0.03,0.01,-,-,-,-,0.01,0.04
SO3,-,0.03,-,0.02,0.03,0.03,0.04,-
,,,,,,,,
Total,94.05,87.68,89.16,91.33,91.54,91.37,89.87,92.05
