E089.4(meV),E089.4(meV),E0160.2(meV),E0160.2(meV),E0372.4(meV),E0372.4(meV),Raman [5],Raman [6],Infra-red [7]
3-9(  A    -1),6-12(  A    -1),2-8(   A    -1),8-14(   A    -1),3-13(  A    -1),13-23(  A    -1),,,
,,,,,,38.2,,
43.3,43.3,43.4,42.6,,,40.3,40.3,
48.7,48.9,49.5,49.5,49.8,52.4,,49.6,
51.0,50.8,,,,,,,
55.2,55.2,,57.3,,,55.2,55.8,
61.9,61.9,,,,,63.5,63.2,62.0
67.0,67.1,,,,,,,
,,73.0,70.1,,,,,
,,86.1,85.2,,,,,
,,97.0,97.5,,,99.2,96.7,97.3
,,108.0,107.8,106.1,108.9,108.5,111.6,104.8
,,122.2,122.0,120.3,121.0,124.0,124.0,124.0
,,125.2,124.9,,,,,
,,139.5,138.4,,,,,
,,,,317.3,318.5,316.5,,309.9
